team,year,league,shots made,shots attempted,free throws made,points scored,points allowed,Over 500,Champion,Playoffs,Playoff Win,Final 2
HMV,1967,A,3094,7731,1774,8074,8407,0,0,1,0,0
IND,1967,A,3174,7397,2102,8546,8530,0,0,1,0,0
KEN,1967,A,3044,7427,1921,8150,8207,0,0,1,0,0
LAL,1967,N,3827,8031,2283,9937,9479,1,0,1,1,1
MNM,1967,A,3248,8084,1896,8469,8163,1,0,1,1,0
NJA,1967,A,3189,7727,2138,8641,8768,0,0,0,0,0
NOB,1967,A,3207,7521,2245,8712,8334,1,0,1,1,1
NYK,1967,N,3682,8070,2159,9523,9373,1,0,1,0,0
OAK,1967,A,3215,7680,2109,8642,9160,0,0,0,0,0
PHI,1967,N,3965,8414,2121,10051,9348,1,0,1,1,0
PTP,1967,A,3230,7528,2028,8731,8479,1,1,1,1,1
SDR,1967,N,3466,8547,2083,9015,9922,0,0,0,0,0
SEA,1967,N,3772,8593,2188,9732,10258,0,0,0,0,0
SFW,1967,N,3632,8587,2334,9598,9643,1,0,1,1,0
STL,1967,N,3504,7765,2258,9266,9045,1,0,1,0,0
ATL,1968,N,3605,7844,1913,9123,8971,1,0,1,1,0
BAL,1968,N,3770,8567,2002,9542,9192,1,0,1,0,0
BOS,1968,N,3583,8316,1936,9102,8643,1,1,1,1,1
CHI,1968,N,3355,8021,1877,8587,8766,0,0,0,0,0
CIN,1968,N,3565,7742,2262,9392,9479,0,0,0,0,0
DEN,1968,A,3427,7554,2026,8959,8842,1,0,1,0,0
DET,1968,N,3609,7997,2141,9359,9619,0,0,0,0,0
DLC,1968,A,3185,7155,2192,8657,8710,1,0,1,0,0
HMV,1968,A,3179,7732,2196,8683,9127,0,0,0,0,0
IND,1968,A,3474,7709,2273,9331,9010,1,0,1,1,1
KEN,1968,A,3180,7613,1977,8672,8659,1,0,1,0,0
LAL,1968,N,3574,7620,2056,9204,8864,1,0,1,1,1
LAS,1968,A,3208,7419,2291,8925,9163,0,0,0,0,0
MFL,1968,A,3406,7625,2167,9008,8975,1,0,1,1,0
MIL,1968,N,3537,8258,1966,9040,9463,0,0,0,0,0
MNP,1968,A,3320,7985,1991,8914,8904,0,0,1,0,0
NOB,1968,A,3386,7697,2148,9053,8787,1,0,1,1,0
NYK,1968,N,3588,7813,1911,9087,8626,1,0,1,1,0
NYN,1968,A,3148,7563,2090,8463,9143,0,0,0,0,0
OAK,1968,A,3615,7663,2607,9866,9211,1,1,1,1,1
PHI,1968,N,3754,8274,2238,9746,9332,1,0,1,0,0
PHO,1968,N,3541,8242,2080,9162,9881,0,0,0,0,0
SDR,1968,N,3691,8631,2074,9456,9471,0,0,1,0,0
SEA,1968,N,3543,8149,2105,9191,9586,0,0,0,0,0
SFW,1968,N,3414,8218,2119,8947,9077,0,0,1,0,0
ATL,1969,N,3817,7907,2012,9646,9610,1,0,1,1,0
BAL,1969,N,3925,8567,2050,9900,9725,1,0,1,0,0
