team,year,league,,,Over 500,Champion,Playoffs,Playoff Win,Final 2,,,
INI,1951,N,-3.575101686,-0.187521503,1,0,1,0,0,,,
MI1,1951,N,-3.527094691,0.848639585,0,0,0,0,0,,,
MIE,1951,N,-3.209298775,-0.15750354,1,1,1,1,1,,,
NYK,1951,N,-2.854049162,0.422479493,1,0,1,1,1,,,
PH1,1951,N,-2.652780181,0.433934008,0,0,1,0,0,,,
ROC,1951,N,-2.764278117,0.582678345,1,0,1,1,0,,,
SYR,1951,N,-2.17672612,1.832665751,1,0,1,1,0,,,
BA1,1952,N,-1.654378163,1.327938334,0,0,1,0,0,,,
BOS,1952,N,-1.55508193,1.28567355,1,0,1,1,0,,,
FTW,1952,N,-2.103727378,1.716496639,1,0,1,1,0,,,
INI,1952,N,-3.127940966,0.900288906,0,0,1,0,0,,,
MI1,1952,N,-2.387801091,1.325377104,0,0,0,0,0,,,
MIE,1952,N,-2.553171506,0.612557252,1,1,1,1,1,,,
NYK,1952,N,-1.728368695,1.664169963,1,0,1,1,1,,,
PH1,1952,N,-2.542439139,0.56639918,0,0,0,0,0,,,
ROC,1952,N,-1.305505102,2.141798214,1,0,1,0,0,,,
SYR,1952,N,-1.17958295,2.670558629,1,0,1,0,0,,,
BA1,1953,N,-2.684960628,0.522313136,0,0,0,0,0,,,
BOS,1953,N,-1.448531097,1.104842778,1,0,1,1,0,,,
FTW,1953,N,-2.908898259,0.752542204,1,0,1,0,0,,,
MI1,1953,N,-3.407120146,0.749083894,0,0,0,0,0,,,
MIE,1953,N,-2.701351015,0.214243727,1,1,1,1,1,,,
NYK,1953,N,-2.37379665,1.362453414,1,0,1,0,0,,,
PH1,1953,N,-2.783581558,0.498441486,0,0,0,0,0,,,
ROC,1953,N,-2.297912676,1.195026713,1,0,1,1,0,,,
SYR,1953,N,-1.885098154,1.430241177,1,0,1,1,1,,,
BOS,1954,N,-0.239927952,0.807720407,0,0,1,1,0,,,
FTW,1954,N,-1.189634587,1.03692044,1,0,1,1,1,,,
