team,year,league,shots made,shots attempted,free throws made,free throws attempted,assists,fouls committed,points scored,points allowed,games won,games lost,win pct,Over 500,Champion,total games,shots made/100,shots attempted/100,free throws made/100,free throws attempted/100,assists/100,fouls commited/100,points scored/100,points allowed/100,Playoffs,Playoff Win,Final 2
SDR,1968,N,3691,8631,2074,3039,1925,2110,9456,9471,37,45,0.451219512,No,No,82,4501.219512,10525.60976,2529.268293,3706.097561,2347.560976,2573.170732,11531.70732,11550,Yes,No,No
SEA,1968,N,3543,8149,2105,2979,1927,2281,9191,9586,30,52,0.365853659,No,No,82,4320.731707,9937.804878,2567.073171,3632.926829,2350,2781.707317,11208.53659,11690.2439,No,No,No
SFW,1968,N,3414,8218,2119,2949,1822,2087,8947,9077,41,41,0.5,No,No,82,4163.414634,10021.95122,2584.146341,3596.341463,2221.95122,2545.121951,10910.97561,11069.5122,Yes,No,No
ATL,1969,N,3817,7907,2012,2669,2142,2016,9646,9610,48,34,0.585365854,Yes,No,82,4654.878049,9642.682927,2453.658537,3254.878049,2612.195122,2458.536585,11763.41463,11719.5122,Yes,Yes,No
BAL,1969,N,3925,8567,2050,2652,1881,1896,9900,9725,50,32,0.609756098,Yes,No,82,4786.585366,10447.56098,2500,3234.146341,2293.902439,2312.195122,12073.17073,11859.7561,Yes,No,No
BOS,1969,N,3645,8235,2132,2711,1875,2320,9422,9578,34,48,0.414634146,No,No,82,4445.121951,10042.68293,2600,3306.097561,2286.585366,2829.268293,11490.2439,11680.4878,No,No,No
CAR,1969,A,3470,7859,1942,2662,1746,2243,8971,8990,42,42,0.5,No,No,84,4130.952381,9355.952381,2311.904762,3169.047619,2078.571429,2670.238095,10679.7619,10702.38095,Yes,No,No
CHI,1969,N,3607,8133,2209,2861,2133,1863,9423,9569,39,43,0.475609756,No,No,82,4398.780488,9918.292683,2693.902439,3489.02439,2601.219512,2271.95122,11491.46341,11669.5122,Yes,No,No
CIN,1969,N,3767,8271,2082,2841,1992,2215,9616,9856,36,46,0.43902439,No,No,82,4593.902439,10086.58537,2539.02439,3464.634146,2429.268293,2701.219512,11726.82927,12019.5122,No,No,No
DEN,1969,A,3743,8381,2023,2713,1621,2064,9697,9328,51,33,0.607142857,Yes,No,84,4455.952381,9977.380952,2408.333333,3229.761905,1929.761905,2457.142857,11544.04762,11104.7619,Yes,Yes,No
DET,1969,N,3565,7657,2116,2881,1709,1930,9246,9520,31,51,0.378048781,No,No,82,4347.560976,9337.804878,2580.487805,3513.414634,2084.146341,2353.658537,11275.60976,11609.7561,No,No,No
DLC,1969,A,3775,8265,2340,2968,1633,2138,10079,9918,45,39,0.535714286,Yes,No,84,4494.047619,9839.285714,2785.714286,3533.333333,1944.047619,2545.238095,11998.80952,11807.14286,Yes,No,No
IND,1969,A,3593,7896,2110,2846,1826,2125,9511,9220,59,25,0.702380952,Yes,Yes,84,4277.380952,9400,2511.904762,3388.095238,2173.809524,2529.761905,11322.61905,10976.19048,Yes,Yes,Yes
KEN,1969,A,3593,8378,2020,2733,1765,2409,9536,9450,45,39,0.535714286,Yes,No,84,4277.380952,9973.809524,2404.761905,3253.571429,2101.190476,2867.857143,11352.38095,11250,Yes,Yes,No
LAL,1969,N,3668,7952,1991,2641,2030,1896,9327,9168,46,36,0.56097561,Yes,No,82,4473.170732,9697.560976,2428.04878,3220.731707,2475.609756,2312.195122,11374.39024,11180.4878,Yes,Yes,Yes
LAS,1969,A,3575,8120,2266,3022,1772,2234,9547,9567,43,41,0.511904762,Yes,No,84,4255.952381,9666.666667,2697.619048,3597.619048,2109.52381,2659.52381,11365.47619,11389.28571,Yes,Yes,Yes
MFL,1969,A,3598,8345,2225,2991,1281,2264,9511,9940,23,61,0.273809524,No,No,84,4283.333333,9934.52381,2648.809524,3560.714286,1525,2695.238095,11322.61905,11833.33333,No,No,No
MIL,1969,N,3923,8041,1895,2589,2168,1971,9741,9364,56,26,0.682926829,Yes,No,82,4784.146341,9806.097561,2310.97561,3157.317073,2643.902439,2403.658537,11879.26829,11419.5122,Yes,Yes,No
NOB,1969,A,3463,7982,1970,2531,1638,2091,9064,8999,42,42,0.5,No,No,84,4122.619048,9502.380952,2345.238095,3013.095238,1950,2489.285714,10790.47619,10713.09524,No,No,No
NYK,1969,N,3803,7975,1821,2484,2135,2016,9427,8684,60,22,0.731707317,Yes,Yes,82,4637.804878,9725.609756,2220.731707,3029.268293,2603.658537,2458.536585,11496.34146,10590.2439,Yes,Yes,Yes
NYN,1969,A,3543,7854,1990,2826,1762,2381,9148,9219,39,45,0.464285714,No,No,84,4217.857143,9350,2369.047619,3364.285714,2097.619048,2834.52381,10890.47619,10975,Yes,No,No
PHI,1969,N,3915,8345,2168,2884,2127,2196,9998,9717,42,40,0.512195122,Yes,No,82,4774.390244,10176.82927,2643.902439,3517.073171,2593.902439,2678.04878,12192.68293,11850,Yes,No,No
PHO,1969,N,3676,7856,2434,3270,2076,2183,9786,9930,39,43,0.475609756,No,No,82,4482.926829,9580.487805,2968.292683,3987.804878,2531.707317,2662.195122,11934.14634,12109.7561,Yes,No,No
PTC,1969,A,3721,8370,1875,2673,1629,2184,9445,9824,29,55,0.345238095,No,No,84,4429.761905,9964.285714,2232.142857,3182.142857,1939.285714,2600,11244.04762,11695.2381,No,No,No
SDR,1969,N,3866,8867,2000,2728,2036,2096,9732,9988,27,55,0.329268293,No,No,82,4714.634146,10813.41463,2439.02439,3326.829268,2482.926829,2556.097561,11868.29268,12180.4878,No,No,No
SEA,1969,N,3709,8029,2171,2851,2214,2175,9589,9799,36,46,0.43902439,No,No,82,4523.170732,9791.463415,2647.560976,3476.829268,2700,2652.439024,11693.90244,11950,No,No,No
SFW,1969,N,3555,8224,2004,2646,1861,2050,9114,9479,30,52,0.365853659,No,No,82,4335.365854,10029.26829,2443.902439,3226.829268,2269.512195,2500,11114.63415,11559.7561,No,No,No
WAC,1969,A,3709,7988,2403,3177,1961,2329,9929,9983,44,40,0.523809524,Yes,No,84,4415.47619,9509.52381,2860.714286,3782.142857,2334.52381,2772.619048,11820.2381,11884.52381,Yes,No,No
ATL,1970,N,3614,7779,2120,2975,1906,1958,9348,9495,36,46,0.43902439,No,No,82,4407.317073,9486.585366,2585.365854,3628.04878,2324.390244,2387.804878,11400,11579.26829,Yes,No,No
BAL,1970,N,3684,8331,1886,2500,1772,1966,9254,9206,42,40,0.512195122,Yes,No,82,4492.682927,10159.7561,2300,3048.780488,2160.97561,2397.560976,11285.36585,11226.82927,Yes,Yes,Yes
BOS,1970,N,3804,8616,2000,2648,2052,2138,9608,9438,44,38,0.536585366,Yes,No,82,4639.02439,10507.31707,2439.02439,3229.268293,2502.439024,2607.317073,11717.07317,11509.7561,No,No,No
BUF,1970,N,3424,7860,1805,2504,1962,2232,8653,9196,22,60,0.268292683,No,No,82,4175.609756,9585.365854,2201.219512,3053.658537,2392.682927,2721.95122,10552.43902,11214.63415,No,No,No
CAR,1970,A,3823,8329,1851,2809,1745,2172,9688,10026,34,50,0.404761905,No,No,84,4551.190476,9915.47619,2203.571429,3344.047619,2077.380952,2585.714286,11533.33333,11935.71429,No,No,No
CHI,1970,N,3460,7660,2150,2721,2142,1797,9070,8640,51,31,0.62195122,Yes,No,82,4219.512195,9341.463415,2621.95122,3318.292683,2612.195122,2191.463415,11060.97561,10536.58537,Yes,No,No
CIN,1970,N,3805,8374,1901,2622,2022,2126,9511,9774,33,49,0.402439024,No,No,82,4640.243902,10212.19512,2318.292683,3197.560976,2465.853659,2592.682927,11598.78049,11919.5122,No,No,No
CLE,1970,N,3299,7778,1775,2380,2065,2114,8373,9289,15,67,0.182926829,No,No,82,4023.170732,9485.365854,2164.634146,2902.439024,2518.292683,2578.04878,10210.97561,11328.04878,No,No,No
DEN,1970,A,3852,8780,2158,2841,1642,1996,9965,10306,30,54,0.357142857,No,No,84,4585.714286,10452.38095,2569.047619,3382.142857,1954.761905,2376.190476,11863.09524,12269.04762,No,No,No
DET,1970,N,3468,7730,2093,2808,1696,1969,9029,9090,45,37,0.548780488,Yes,No,82,4229.268293,9426.829268,2552.439024,3424.390244,2068.292683,2401.219512,11010.97561,11085.36585,No,No,No
FLA,1970,A,3659,8026,2179,2852,1939,2140,9579,9707,37,47,0.440476191,No,No,84,4355.952381,9554.761905,2594.047619,3395.238095,2308.333333,2547.619048,11403.57143,11555.95238,Yes,No,No
IND,1970,A,3796,8202,2104,2741,2068,1953,10002,9501,58,26,0.690476191,Yes,No,84,4519.047619,9764.285714,2504.761905,3263.095238,2461.904762,2325,11907.14286,11310.71429,Yes,Yes,No
KEN,1970,A,3929,8520,2213,2930,1878,2271,10264,10260,44,40,0.523809524,Yes,No,84,4677.380952,10142.85714,2634.52381,3488.095238,2235.714286,2703.571429,12219.04762,12214.28571,Yes,Yes,Yes
LAL,1970,N,3739,7857,1933,2717,2205,1709,9411,9159,48,34,0.585365854,Yes,No,82,4559.756098,9581.707317,2357.317073,3313.414634,2689.02439,2084.146341,11476.82927,11169.5122,Yes,Yes,No
MIL,1970,N,3972,7803,1766,2379,2249,1847,9710,8705,66,16,0.804878049,Yes,Yes,82,4843.902439,9515.853659,2153.658537,2901.219512,2742.682927,2252.439024,11841.46341,10615.85366,Yes,Yes,Yes
MMP,1970,A,3700,8383,1664,2287,1893,2164,9175,9234,41,43,0.488095238,No,No,84,4404.761905,9979.761905,1980.952381,2722.619048,2253.571429,2576.190476,10922.61905,10992.85714,Yes,No,No
NYK,1970,N,3633,8076,1760,2377,1779,1916,9026,8614,52,30,0.634146342,Yes,No,82,4430.487805,9848.780488,2146.341463,2898.780488,2169.512195,2336.585366,11007.31707,10504.87805,Yes,Yes,No
NYN,1970,A,3638,7704,2013,2653,1877,2203,9327,9378,40,44,0.476190476,No,No,84,4330.952381,9171.428571,2396.428571,3158.333333,2234.52381,2622.619048,11103.57143,11164.28571,Yes,No,No
PHI,1970,N,3608,8026,2199,2967,1976,2168,9415,9288,47,35,0.573170732,Yes,No,82,4400,9787.804878,2681.707317,3618.292683,2409.756098,2643.902439,11481.70732,11326.82927,Yes,No,No
PHO,1970,N,3503,8021,2327,3078,1927,2132,9333,9177,48,34,0.585365854,Yes,No,82,4271.95122,9781.707317,2837.804878,3753.658537,2350,2600,11381.70732,11191.46341,No,No,No
POR,1970,N,3721,8562,2025,2671,2227,2024,9467,9837,29,53,0.353658537,No,No,82,4537.804878,10441.46341,2469.512195,3257.317073,2715.853659,2468.292683,11545.12195,11996.34146,No,No,No
PTC,1970,A,3906,8661,2012,2659,1619,2208,10001,10229,36,48,0.428571429,No,No,84,4650,10310.71429,2395.238095,3165.47619,1927.380952,2628.571429,11905.95238,12177.38095,No,No,No
SDR,1970,N,3547,8426,2188,2921,1921,2128,9282,9302,40,42,0.487804878,No,No,82,4325.609756,10275.60976,2668.292683,3562.195122,2342.682927,2595.121951,11319.5122,11343.90244,No,No,No
SEA,1970,N,3664,8034,2101,2790,2049,1917,9429,9591,38,44,0.463414634,No,No,82,4468.292683,9797.560976,2562.195122,3402.439024,2498.780488,2337.804878,11498.78049,11696.34146,No,No,No
SFW,1970,N,3454,7709,1875,2468,1893,1833,8783,8901,41,41,0.5,No,No,82,4212.195122,9401.219512,2286.585366,3009.756098,2308.536585,2235.365854,10710.97561,10854.87805,Yes,No,No
TEX,1970,A,3964,8938,2038,2661,1901,2093,10207,10458,30,54,0.357142857,No,No,84,4719.047619,10640.47619,2426.190476,3167.857143,2263.095238,2491.666667,12151.19048,12450,Yes,No,No
UTS,1970,A,3787,8409,2219,2831,1789,2050,9994,9400,57,27,0.678571429,Yes,Yes,84,4508.333333,10010.71429,2641.666667,3370.238095,2129.761905,2440.47619,11897.61905,11190.47619,Yes,Yes,Yes
VIR,1970,A,4014,8497,2273,2975,2231,2371,10355,10058,55,29,0.654761905,Yes,No,84,4778.571429,10115.47619,2705.952381,3541.666667,2655.952381,2822.619048,12327.38095,11973.80952,Yes,Yes,No
ATL,1971,N,3482,7570,2018,2725,1897,1967,8982,9127,36,46,0.43902439,No,No,82,4246.341463,9231.707317,2460.97561,3323.170732,2313.414634,2398.780488,10953.65854,11130.4878,Yes,No,No
BAL,1971,N,3490,7748,1804,2378,1816,1858,8784,8880,38,44,0.463414634,No,No,82,4256.097561,9448.780488,2200,2900,2214.634146,2265.853659,10712.19512,10829.26829,Yes,No,No
BOS,1971,N,3819,8431,1839,2367,2230,2030,9477,9085,56,26,0.682926829,Yes,No,82,4657.317073,10281.70732,2242.682927,2886.585366,2719.512195,2475.609756,11557.31707,11079.26829,Yes,Yes,No
BUF,1971,N,3409,7560,1549,2219,1759,2110,8367,9125,22,60,0.268292683,No,No,82,4157.317073,9219.512195,1889.02439,2706.097561,2145.121951,2573.170732,10203.65854,11128.04878,No,No,No
CAR,1971,A,3818,8391,1870,2536,1735,2173,9646,9923,35,49,0.416666667,No,No,84,4545.238095,9989.285714,2226.190476,3019.047619,2065.47619,2586.904762,11483.33333,11813.09524,No,No,No
CHI,1971,N,3539,7853,2039,2700,2087,1964,9117,8440,57,25,0.695121951,Yes,No,82,4315.853659,9576.829268,2486.585366,3292.682927,2545.121951,2395.121951,11118.29268,10292.68293,Yes,No,No
CIN,1971,N,3444,7496,1948,2578,2020,2079,8836,9167,30,52,0.365853659,No,No,82,4200,9141.463415,2375.609756,3143.902439,2463.414634,2535.365854,10775.60976,11179.26829,No,No,No
CLE,1971,N,3458,8074,1758,2390,2060,1936,8674,9300,23,59,0.280487805,No,No,82,4217.073171,9846.341463,2143.902439,2914.634146,2512.195122,2360.97561,10578.04878,11341.46341,No,No,No
DEN,1971,A,3703,8247,1953,2601,1995,2334,9400,9500,34,50,0.404761905,No,No,84,4408.333333,9817.857143,2325,3096.428571,2375,2778.571429,11190.47619,11309.52381,Yes,No,No
DET,1971,N,3482,7665,1981,2653,1687,1954,8945,9506,26,56,0.317073171,No,No,82,4246.341463,9347.560976,2415.853659,3235.365854,2057.317073,2382.926829,10908.53659,11592.68293,No,No,No
DLC,1971,A,3362,7502,1943,2498,1486,2315,8770,8760,42,42,0.5,No,No,84,4002.380952,8930.952381,2313.095238,2973.809524,1769.047619,2755.952381,10440.47619,10428.57143,Yes,No,No
FLA,1971,A,3547,7797,2190,2817,1871,2125,9471,9603,36,48,0.428571429,No,No,84,4222.619048,9282.142857,2607.142857,3353.571429,2227.380952,2529.761905,11275,11432.14286,Yes,No,No
GSW,1971,N,3477,7923,1917,2500,1854,1840,8871,8808,51,31,0.62195122,Yes,No,82,4240.243902,9662.195122,2337.804878,3048.780488,2260.97561,2243.902439,10818.29268,10741.46341,Yes,No,No
HOU,1971,N,3590,8277,1813,2424,1777,1992,8993,9121,34,48,0.414634146,No,No,82,4378.04878,10093.90244,2210.97561,2956.097561,2167.073171,2429.268293,10967.07317,11123.17073,No,No,No
IND,1971,A,3601,7805,2065,2756,1731,1908,9487,9266,47,37,0.55952381,Yes,Yes,84,4286.904762,9291.666667,2458.333333,3280.952381,2060.714286,2271.428571,11294.04762,11030.95238,Yes,Yes,Yes
KEN,1971,A,3803,7796,2003,2697,2136,1959,9743,8989,68,16,0.80952381,Yes,No,84,4527.380952,9280.952381,2384.52381,3210.714286,2542.857143,2332.142857,11598.80952,10701.19048,Yes,No,No
LAL,1971,N,3920,7998,2080,2833,2232,1636,9920,8913,69,13,0.841463415,Yes,Yes,82,4780.487805,9753.658537,2536.585366,3454.878049,2721.95122,1995.121951,12097.56098,10869.5122,Yes,Yes,Yes
MIL,1971,N,3813,7653,1774,2399,2160,1862,9400,8485,63,19,0.768292683,Yes,No,82,4650,9332.926829,2163.414634,2925.609756,2634.146341,2270.731707,11463.41463,10347.56098,Yes,Yes,No
MMP,1971,A,3500,8408,1875,2525,1611,2169,9029,9489,26,58,0.30952381,No,No,84,4166.666667,10009.52381,2232.142857,3005.952381,1917.857143,2582.142857,10748.80952,11296.42857,No,No,No
NYK,1971,N,3521,7673,1743,2303,1985,1899,8785,8584,48,34,0.585365854,Yes,No,82,4293.902439,9357.317073,2125.609756,2808.536585,2420.731707,2315.853659,10713.41463,10468.29268,Yes,Yes,Yes
NYN,1971,A,3697,7698,1990,2589,1842,2065,9476,9445,44,40,0.523809524,Yes,No,84,4401.190476,9164.285714,2369.047619,3082.142857,2192.857143,2458.333333,11280.95238,11244.04762,Yes,Yes,Yes
PHI,1971,N,3577,8057,2049,2825,1920,2203,9203,9504,30,52,0.365853659,No,No,82,4362.195122,9825.609756,2498.780488,3445.121951,2341.463415,2686.585366,11223.17073,11590.2439,No,No,No
PHO,1971,N,3599,7877,2336,2999,1976,2026,9534,9083,49,33,0.597560976,Yes,No,82,4389.02439,9606.097561,2848.780488,3657.317073,2409.756098,2470.731707,11626.82927,11076.82927,No,No,No
POR,1971,N,3462,7840,1835,2494,2090,1873,8759,9557,18,64,0.219512195,No,No,82,4221.95122,9560.97561,2237.804878,3041.463415,2548.780488,2284.146341,10681.70732,11654.87805,No,No,No
PTC,1971,A,3912,8226,2052,2725,1835,2185,10016,10617,25,59,0.297619048,No,No,84,4657.142857,9792.857143,2442.857143,3244.047619,2184.52381,2601.190476,11923.80952,12639.28571,No,No,No
SEA,1971,N,3461,7457,2035,2659,1976,1738,8957,8919,47,35,0.573170732,Yes,No,82,4220.731707,9093.902439,2481.707317,3242.682927,2409.756098,2119.512195,10923.17073,10876.82927,No,No,No
UTS,1971,A,3731,7767,2259,2863,1854,2060,9892,9412,60,24,0.714285714,Yes,No,84,4441.666667,9246.428571,2689.285714,3408.333333,2207.142857,2452.380952,11776.19048,11204.7619,Yes,Yes,No
VIR,1971,A,3913,8458,2101,2788,1764,2234,9988,9914,45,39,0.535714286,Yes,No,84,4658.333333,10069.04762,2501.190476,3319.047619,2100,2659.52381,11890.47619,11802.38095,Yes,Yes,No
ATL,1972,N,3700,8033,1819,2482,2074,1916,9219,9212,46,36,0.56097561,Yes,No,82,4512.195122,9796.341463,2218.292683,3026.829268,2529.268293,2336.585366,11242.68293,11234.14634,Yes,No,No
BAL,1972,N,3656,7883,1294,1742,2051,1672,8606,8331,52,30,0.634146342,Yes,No,82,4458.536585,9613.414634,1578.04878,2124.390244,2501.219512,2039.02439,10495.12195,10159.7561,Yes,No,No
BOS,1972,N,3811,8511,1616,2073,2320,1805,9238,8566,68,14,0.829268293,Yes,No,82,4647.560976,10379.26829,1970.731707,2528.04878,2829.268293,2201.219512,11265.85366,10446.34146,Yes,Yes,No
BUF,1972,N,3536,7877,1399,1966,2218,2034,8471,9223,21,61,0.256097561,No,No,82,4312.195122,9606.097561,1706.097561,2397.560976,2704.878049,2480.487805,10330.4878,11247.56098,No,No,No
CAR,1972,A,3794,7657,2065,2860,2089,2394,9707,9296,57,27,0.678571429,Yes,No,84,4516.666667,9115.47619,2458.333333,3404.761905,2486.904762,2850,11555.95238,11066.66667,Yes,Yes,No
CHI,1972,N,3480,7835,1574,2073,2023,1881,8534,8248,51,31,0.62195122,Yes,No,82,4243.902439,9554.878049,1919.512195,2528.04878,2467.073171,2293.902439,10407.31707,10058.53659,Yes,No,No
CLE,1972,N,3431,7884,1556,2084,2106,1941,8418,8637,32,50,0.390243902,No,No,82,4184.146341,9614.634146,1897.560976,2541.463415,2568.292683,2367.073171,10265.85366,10532.92683,No,No,No
DEN,1972,A,3433,7501,2253,2994,1936,2237,9193,8932,47,37,0.55952381,Yes,No,84,4086.904762,8929.761905,2682.142857,3564.285714,2304.761905,2663.095238,10944.04762,10633.33333,Yes,No,No
DET,1972,N,3666,7916,1710,2294,1882,1812,9042,9024,40,42,0.487804878,No,No,82,4470.731707,9653.658537,2085.365854,2797.560976,2295.121951,2209.756098,11026.82927,11004.87805,No,No,No
DLC,1972,A,3500,7644,2157,2861,1898,2145,9302,9669,28,56,0.333333333,No,No,84,4166.666667,9100,2567.857143,3405.952381,2259.52381,2553.571429,11073.80952,11510.71429,No,No,No
GSW,1972,N,3715,8163,1493,1871,1985,1693,8923,8669,47,35,0.573170732,Yes,No,82,4530.487805,9954.878049,1820.731707,2281.707317,2420.731707,2064.634146,10881.70732,10571.95122,Yes,Yes,No
HOU,1972,N,3772,8249,1706,2152,1939,1949,9250,9392,33,49,0.402439024,No,No,82,4600,10059.7561,2080.487805,2624.390244,2364.634146,2376.829268,11280.4878,11453.65854,No,No,No
IND,1972,A,3668,7948,2123,2874,1860,2056,9631,9451,51,33,0.607142857,Yes,Yes,84,4366.666667,9461.904762,2527.380952,3421.428571,2214.285714,2447.619048,11465.47619,11251.19048,Yes,Yes,Yes
KCK,1972,N,3621,7581,1580,2036,2118,2054,8822,9061,36,46,0.43902439,No,No,82,4415.853659,9245.121951,1926.829268,2482.926829,2582.926829,2504.878049,10758.53659,11050,Yes,Yes,No
KEN,1972,A,3770,7900,1779,2453,2287,1976,9401,8860,56,28,0.666666667,Yes,No,84,4488.095238,9404.761905,2117.857143,2920.238095,2722.619048,2352.380952,11191.66667,10547.61905,No,No,Yes
LAL,1972,N,3740,7819,1679,2264,2302,1636,9159,8459,60,22,0.731707317,Yes,No,82,4560.97561,9535.365854,2047.560976,2760.97561,2807.317073,1995.121951,11169.5122,10315.85366,Yes,Yes,Yes
MIL,1972,N,3759,7808,1271,1687,2226,1763,8789,8115,60,22,0.731707317,Yes,No,82,4584.146341,9521.95122,1550,2057.317073,2714.634146,2150,10718.29268,9896.341463,Yes,No,No
MMT,1972,A,3618,7758,2038,2721,1943,2340,9368,9921,24,60,0.285714286,No,No,84,4307.142857,9235.714286,2426.190476,3239.285714,2313.095238,2785.714286,11152.38095,11810.71429,No,No,No
NYK,1972,N,3627,7764,1356,1739,2187,1775,8610,8053,57,25,0.695121951,Yes,Yes,82,4423.170732,9468.292683,1653.658537,2120.731707,2667.073171,2164.634146,10500,9820.731707,Yes,Yes,Yes
NYN,1972,A,3400,7073,1851,2513,1899,2112,8700,9245,30,54,0.357142857,No,No,84,4047.619048,8420.238095,2203.571429,2991.666667,2260.714286,2514.285714,10357.14286,11005.95238,Yes,No,No
PHI,1972,N,3471,8264,1598,2130,1688,1984,8540,9531,9,73,0.109756098,No,No,82,4232.926829,10078.04878,1948.780488,2597.560976,2058.536585,2419.512195,10414.63415,11623.17073,No,No,No
PHO,1972,N,3612,7942,1931,2437,1944,2012,9155,9260,38,44,0.463414634,No,No,82,4404.878049,9685.365854,2354.878049,2971.95122,2370.731707,2453.658537,11164.63415,11292.68293,No,No,No
POR,1972,N,3588,7842,1531,2129,2102,1970,8707,9218,21,61,0.256097561,No,No,82,4375.609756,9563.414634,1867.073171,2596.341463,2563.414634,2402.439024,10618.29268,11241.46341,No,No,No
SDQ,1972,A,3542,8009,1970,2684,1934,2139,9153,9513,30,54,0.357142857,No,No,84,4216.666667,9534.52381,2345.238095,3195.238095,2302.380952,2546.428571,10896.42857,11325,Yes,No,No
SEA,1972,N,3447,7681,1606,2080,1958,1877,8500,8984,26,56,0.317073171,No,No,82,4203.658537,9367.073171,1958.536585,2536.585366,2387.804878,2289.02439,10365.85366,10956.09756,No,No,No
UTS,1972,A,3656,7499,2291,2886,1963,2240,9708,9244,55,29,0.654761905,Yes,No,84,4352.380952,8927.380952,2727.380952,3435.714286,2336.904762,2666.666667,11557.14286,11004.7619,Yes,Yes,No
VIR,1972,A,3722,7757,2097,2785,2029,2317,9581,9613,42,42,0.5,No,No,84,4430.952381,9234.52381,2496.428571,3315.47619,2415.47619,2758.333333,11405.95238,11444.04762,Yes,No,No
