team,year,league,shots made,shots attempted,free throws made,free throws attempted,offensive rebounds,defensive rebounds,total rebounds,assists,fouls commited,steals,turnovers,blocks,total points,made shots allowed,shot attempts allowed,made free throws against,free throw attempts allowed,offensive rebounds allowed,defensive rebounds allowed,total rebounds allowed,assists allowed,fouls against,steals against,turnovers against,blocks against,3 pointers allowed,points allowed,pace,games won,games lost,win pct,Over 500,Champion,Playoffs,Playoff Win,Final 2
GSW,1977,N,3574,7654,1550,2081,1183,2629,3812,2097,2113,873,1518,405,8698,3425,7368,1820,2408,1185,2794,3979,2037,1975,728,1738,408,0,8670,108.09427,43,39,0.524390244,Yes,No,No,No,No
HOU,1977,N,3523,7691,1467,1896,1301,2421,3722,1942,2025,683,1376,319,8513,3571,7404,1699,2238,1195,2525,3720,1990,1752,605,1410,360,0,8841,103.97723,28,54,0.341463415,No,No,No,No,No
IND,1977,N,3500,7783,1904,2564,1386,2624,4010,1982,2230,808,1642,456,8904,3634,7663,1841,2455,1350,2793,4143,2259,2135,727,1762,466,0,9109,110.73661,31,51,0.378048781,No,No,No,No,No
KCK,1977,N,3601,7731,1775,2262,1208,2632,3840,1992,2228,794,1690,370,8977,3564,7521,2004,2635,1232,2684,3916,1928,2088,796,1694,408,0,9132,110.90778,31,51,0.378048781,No,No,No,No,No
LAL,1977,N,3734,7672,1576,2095,1136,2647,3783,2229,1964,802,1548,409,9044,3648,7880,1529,2050,1365,2599,3964,2073,1919,756,1570,379,0,8825,108.74482,45,37,0.548780488,Yes,No,Yes,No,No
MIL,1977,N,3801,7883,1612,2220,1239,2480,3719,2306,2038,867,1680,472,9214,3715,7728,1832,2404,1234,2617,3851,2248,2019,790,1783,468,0,9262,112.62953,44,38,0.536585366,Yes,No,Yes,Yes,No
NJN,1977,N,3547,8004,1652,2304,1306,2595,3901,1879,2312,857,1774,631,8746,3544,7620,2135,2830,1312,2996,4308,2073,1999,852,1864,560,0,9223,114.24564,24,58,0.292682927,No,No,No,No,No
NOJ,1977,N,3568,7717,1690,2331,1309,2907,4216,2079,1938,662,1694,514,8826,3659,7938,1661,2213,1273,2747,4020,2084,2062,851,1511,476,0,8979,110.46465,39,43,0.475609756,No,No,No,No,No
NYK,1977,N,3815,7822,1670,2225,1180,2689,3869,2338,2193,818,1764,442,9300,3658,7742,2029,2785,1254,2623,3877,2113,1989,879,1677,357,0,9345,113.47469,43,39,0.524390244,Yes,No,Yes,Yes,No
PHI,1977,N,3628,7471,2153,2863,1299,2694,3993,2220,2188,800,1752,548,9409,3592,7788,1803,2435,1363,2473,3836,2095,2287,823,1709,346,0,8987,111.1401,55,27,0.670731707,Yes,No,Yes,Yes,No
PHO,1977,N,3731,7836,1749,2329,1166,2579,3745,2338,1956,1059,1766,372,9211,3578,7622,1749,2319,1202,2743,3945,1988,2178,937,1969,372,0,8905,114.04716,49,33,0.597560976,Yes,No,Yes,No,No
POR,1977,N,3556,7367,1717,2259,1187,2686,3873,2067,2068,798,1625,390,8829,3289,7318,1747,2282,1187,2523,3710,1818,2093,748,1624,390,0,8325,106.11722,58,24,0.707317073,Yes,No,Yes,No,No
SAS,1977,N,3794,7594,1797,2234,1030,2594,3624,2240,1871,797,1665,553,9385,3808,8063,1494,1996,1345,2576,3921,2145,2059,837,1662,379,0,9110,111.63013,52,30,0.634146342,Yes,No,Yes,No,No
SEA,1977,N,3445,7715,1675,2352,1456,2601,4057,1799,2008,782,1636,429,8565,3384,7377,1670,2203,1121,2600,3721,1956,2067,735,1646,410,0,8438,107.58683,47,35,0.573170732,Yes,No,Yes,Yes,Yes
WA1,1977,N,3580,7772,1887,2655,1349,2815,4164,1948,1879,668,1613,386,9047,3767,8065,1437,1895,1166,2683,3849,2144,2312,779,1437,427,0,8971,111.04871,44,38,0.536585366,Yes,Yes,Yes,Yes,Yes
ATL,1978,N,3505,7410,1940,2534,1381,2341,3722,1938,2424,801,1523,596,8950,3367,6886,2045,2727,1176,2440,3616,1928,2135,646,1799,559,0,8779,105.01604,46,36,0.56097561,Yes,No,Yes,Yes,No
BOS,1978,N,3527,7347,1820,2321,1119,2396,3515,1995,1977,710,1713,283,8874,3855,7593,1578,2079,1122,2453,3575,2170,2025,717,1603,438,0,9288,108.49219,29,53,0.353658537,No,No,No,No,No
CHI,1978,N,3478,7108,1632,2184,1224,2544,3768,2169,1970,576,1813,324,8588,3682,7408,1549,2029,1095,2377,3472,2146,2093,844,1468,503,0,8913,104.74939,31,51,0.378048781,No,No,No,No,No
CLE,1978,N,3556,7602,1620,2103,1229,2256,3485,1796,2027,688,1376,334,8732,3600,7150,1837,2423,1123,2587,3710,2062,2001,658,1557,503,0,9037,104.70539,30,52,0.365853659,No,No,No,No,No
DEN,1978,N,3517,7311,2046,2841,1307,2596,3903,2166,2106,673,1666,416,9080,3631,7616,1713,2277,1218,2429,3647,2173,2262,738,1529,471,0,8975,107.87524,47,35,0.573170732,Yes,No,Yes,No,No
DET,1978,N,3708,7802,1607,2242,1303,2380,3683,2092,2141,847,1599,550,9023,3755,7623,1732,2295,1301,2628,3929,2197,1914,666,1744,504,0,9242,109.75703,30,52,0.365853659,No,No,No,No,No
GSW,1978,N,3627,7453,1367,1872,1169,2513,3682,2064,2023,774,1500,420,8621,3493,7255,1604,2155,1147,2533,3680,2094,1854,637,1580,362,0,8590,104.2185,38,44,0.463414634,No,No,No,No,No
HOU,1978,N,3726,7498,1845,2330,1256,2504,3760,2302,2001,632,1510,286,9297,3795,7625,1627,2211,1186,2315,3501,2278,2055,660,1400,431,0,9217,106.30457,47,35,0.573170732,Yes,No,Yes,No,No
IND,1978,N,3575,7525,1759,2317,1225,2530,3755,2005,2093,687,1536,416,8909,3586,7499,1868,2416,1299,2605,3904,2178,2091,677,1618,437,0,9040,107.19592,38,44,0.463414634,No,No,No,No,No
KCK,1978,N,3764,7644,1746,2392,1191,2404,3595,2239,2419,825,1631,390,9274,3434,7061,2170,2897,1156,2547,3703,1776,2223,678,1879,435,0,9038,109.96784,48,34,0.585365854,Yes,No,Yes,No,No
LAL,1978,N,3827,7397,1606,2088,949,2557,3506,2338,1851,793,1569,500,9260,3797,7848,1415,1931,1288,2486,3774,2234,1958,737,1542,359,0,9009,108.10756,47,35,0.573170732,Yes,No,Yes,Yes,No
MIL,1978,N,3906,7773,1541,2021,1157,2370,3527,2562,2106,862,1574,435,9353,3676,7505,1819,2415,1229,2437,3666,2301,1928,763,1748,462,0,9171,109.79063,38,44,0.463414634,No,No,No,No,No
NJN,1978,N,3464,7523,1904,2613,1241,2370,3611,1907,2329,853,1861,619,8832,3507,7306,2160,2861,1234,2667,3901,2185,2208,861,1919,492,0,9174,112.06746,37,45,0.451219512,No,No,Yes,No,No
NOJ,1978,N,3517,7511,1848,2409,1234,2676,3910,2079,1940,760,1764,559,8882,3864,8039,1666,2246,1486,2664,4150,2264,2061,955,1600,566,0,9394,110.25214,26,56,0.317073171,No,No,No,No,No
NYK,1978,N,3676,7554,1478,2111,1200,2430,3630,2121,2154,699,1605,397,8830,3600,7457,1907,2506,1225,2489,3714,2114,1961,751,1558,378,0,9107,107.4616,31,51,0.378048781,No,No,No,No,No
PHI,1978,N,3584,7338,1815,2411,1149,2712,3861,2253,2072,779,1771,599,8983,3542,7626,1747,2331,1252,2506,3758,2094,2128,795,1627,353,0,8831,109.07529,47,35,0.573170732,Yes,No,Yes,Yes,No
PHO,1978,N,3847,7516,1765,2299,1083,2379,3462,2500,1944,915,1760,337,9459,3775,7626,1606,2127,1238,2424,3662,2091,2144,890,1841,402,0,9156,111.02116,50,32,0.609756098,Yes,No,Yes,Yes,No
POR,1978,N,3541,7338,1806,2362,1256,2435,3691,1946,2187,776,1658,512,8888,3448,7059,1889,2501,1080,2350,3430,1963,2206,797,1650,422,0,8785,105.81914,45,37,0.548780488,Yes,No,Yes,No,No
SAS,1978,N,3927,7760,1926,2423,1096,2619,3715,2313,2071,829,1652,509,9780,3798,7970,1759,2343,1297,2531,3828,2232,2168,788,1700,405,0,9355,113.539,48,34,0.585365854,Yes,No,Yes,Yes,No
SDC,1978,N,3721,7706,1836,2471,1392,2413,3805,1539,2127,703,1623,392,9278,3832,7801,1760,2295,1294,2322,3616,1896,2064,747,1517,350,0,9424,109.13911,43,39,0.524390244,Yes,No,No,No,No
SEA,1978,N,3504,7484,1732,2298,1310,2591,3901,1973,1914,690,1586,398,8740,3475,7509,1567,2108,1156,2453,3609,1910,2057,755,1493,407,0,8517,106.03623,52,30,0.634146342,Yes,Yes,Yes,Yes,Yes
WA1,1978,N,3819,7873,1785,2428,1309,2768,4077,2169,1804,614,1420,401,9423,3804,8011,1406,1897,1178,2541,3719,2180,2144,726,1338,434,0,9014,109.13888,54,28,0.658536585,Yes,No,Yes,Yes,Yes
ATL,1979,N,3261,7027,2038,2645,1369,2406,3775,1913,2293,782,1495,539,8573,3144,6872,2000,2616,1261,2339,3600,1758,2171,682,1660,554,46,8334,101.16614,50,32,0.609756098,Yes,No,Yes,No,No
BOS,1979,N,3617,7387,1907,2449,1227,2457,3684,2198,1974,809,1539,308,9303,3439,7313,1712,2222,1168,2294,3462,1867,2059,686,1635,419,74,8664,105.97337,61,21,0.743902439,Yes,No,Yes,Yes,No
CHI,1979,N,3362,6943,2019,2592,1115,2465,3580,2152,2146,704,1684,392,8813,3585,7222,1811,2358,1159,2345,3504,2109,2203,846,1543,498,54,9035,104.5335,30,52,0.365853659,No,No,No,No,No
CLE,1979,N,3811,8041,1702,2205,1307,2381,3688,2108,1934,764,1370,342,9360,3811,7610,1645,2150,1230,2638,3868,2208,2033,708,1667,490,65,9332,109.19448,37,45,0.451219512,No,No,No,No,No
DEN,1979,N,3462,7470,1871,2539,1311,2524,3835,2079,1917,746,1533,404,8878,3736,7591,1698,2235,1197,2587,3784,2289,2033,812,1438,455,70,9240,106.51925,30,52,0.365853659,No,No,No,No,No
DET,1979,N,3643,7596,1590,2149,1226,2415,3641,1950,2069,783,1742,562,8933,3847,7761,1858,2405,1319,2572,3891,2306,1871,874,1583,470,57,9609,109.63906,16,66,0.195121951,No,No,No,No,No
GSW,1979,N,3527,7318,1412,1914,1155,2437,3592,2028,2082,779,1492,339,8493,3438,6975,1905,2544,1056,2564,3620,2091,1785,720,1486,361,72,8853,102.8746,24,58,0.292682927,No,No,No,No,No
HOU,1979,N,3599,7496,1782,2326,1394,2217,3611,2149,1927,782,1565,373,9084,3658,7382,1696,2153,1290,2317,3607,2223,2049,778,1597,428,58,9070,104.71941,41,41,0.5,No,No,Yes,Yes,No
IND,1979,N,3639,7689,1753,2333,1398,2326,3724,2148,1973,900,1517,530,9119,3693,7545,1734,2295,1394,2552,3946,2323,2028,738,1758,470,56,9176,107.29745,37,45,0.451219512,No,No,No,No,No
KCK,1979,N,3582,7489,1671,2250,1187,2429,3616,2123,2135,863,1439,356,8860,3328,6992,1906,2497,1140,2644,3784,1778,2072,695,1762,425,41,8603,105.42605,47,35,0.573170732,Yes,No,Yes,No,No
LAL,1979,N,3898,7368,1622,2092,1085,2653,3738,2413,1784,774,1639,546,9438,3723,7921,1430,1884,1312,2242,3554,2324,1860,797,1420,382,78,8954,106.97785,60,22,0.731707317,Yes,Yes,Yes,Yes,Yes
MIL,1979,N,3685,7553,1605,2102,1245,2396,3641,2277,1937,778,1496,510,9025,3456,7487,1714,2275,1360,2293,3653,2154,1912,717,1638,358,76,8702,105.73549,49,33,0.597560976,Yes,No,Yes,No,No
NJN,1979,N,3456,7504,1882,2406,1229,2535,3764,2094,2181,869,1702,581,8879,3480,7427,1957,2572,1285,2596,3881,2189,2042,849,1692,514,58,8975,108.79631,34,48,0.414634146,No,No,No,No,No
NYK,1979,N,3802,7672,1698,2274,1236,2303,3539,2265,2168,881,1613,457,9344,3707,7492,1969,2556,1293,2432,3725,2143,2042,813,1694,390,56,9438,109.19448,39,43,0.475609756,No,No,No,No,No
PHI,1979,N,3523,7156,1876,2431,1187,2635,3822,2226,1860,792,1708,652,8949,3444,7561,1640,2145,1318,2352,3670,2089,2100,876,1561,388,75,8603,105.73283,59,23,0.719512195,Yes,No,Yes,Yes,Yes
PHO,1979,N,3570,7235,1906,2466,1071,2458,3529,2283,1853,908,1629,344,9114,3563,7480,1593,2119,1216,2447,3663,2026,2051,882,1663,389,100,8819,107.20123,55,27,0.670731707,Yes,No,Yes,Yes,No
POR,1979,N,3408,7167,1560,2100,1295,2408,3703,1898,1956,708,1552,472,8402,3349,7008,1716,2281,1138,2358,3496,2008,1880,756,1450,395,55,8469,100.75999,38,44,0.463414634,No,No,Yes,No,No
SAS,1979,N,3856,7738,2024,2528,1153,2515,3668,2326,2103,771,1589,333,9788,4000,7997,1731,2283,1248,2472,3720,2537,2192,828,1513,457,88,9819,112.12959,41,41,0.5,No,No,Yes,No,No
SDC,1979,N,3524,7494,1595,2167,1294,2308,3602,1688,1896,664,1443,288,8820,3752,7508,1613,2086,1222,2487,3709,2012,1889,764,1391,408,43,9160,103.90084,35,47,0.426829268,No,No,No,No,No
SEA,1979,N,3554,7565,1730,2253,1380,2550,3930,2043,1865,750,1496,428,8897,3408,7424,1640,2147,1203,2409,3612,2016,1997,728,1519,393,59,8515,104.90218,56,26,0.682926829,Yes,No,Yes,Yes,No
UTA,1979,N,3382,6817,1571,1943,967,2359,3326,2005,2006,656,1543,362,8394,3559,7182,1702,2205,1159,2288,3447,1997,1782,710,1274,398,67,8887,99.814026,24,58,0.292682927,No,No,No,No,No
WA1,1979,N,3574,7796,1552,2048,1334,2723,4057,2201,1893,530,1380,443,8773,3615,7771,1696,2184,1197,2672,3869,2120,1901,734,1222,519,56,8982,105.76692,39,43,0.475609756,No,No,Yes,No,No
ATL,1980,N,3291,6866,2012,2590,1201,2224,3425,1846,2276,749,1605,469,8604,3401,6867,2024,2641,1207,2318,3525,1935,2209,748,1685,555,32,8858,102.24073,31,51,0.378048781,No,No,No,No,No
BOS,1980,N,3581,7099,1781,2369,1155,2424,3579,2202,1990,683,1577,594,9008,3372,7296,1752,2277,1192,2174,3366,1890,2059,736,1473,351,30,8526,103.60421,62,20,0.756097561,Yes,Yes,Yes,Yes,Yes
CHI,1980,N,3457,6903,1985,2563,1227,2475,3702,1925,2058,729,1672,514,8937,3527,7209,1669,2211,1145,2096,3241,1950,2135,784,1502,441,52,8775,102.83253,45,37,0.548780488,Yes,No,Yes,Yes,No
CLE,1980,N,3556,7609,1486,1909,1258,2243,3501,2007,1995,632,1396,322,8670,3608,7174,1800,2395,1158,2499,3657,2166,1956,681,1474,454,52,9068,103.53483,28,54,0.341463415,No,No,No,No,No
DAL,1980,N,3204,6928,1868,2487,1109,2177,3286,1984,2008,561,1439,214,8322,3622,7060,1731,2297,1173,2498,3671,2098,2187,713,1433,480,36,9011,100.82841,15,67,0.182926829,No,No,No,No,No
DEN,1980,N,3784,7960,2388,3051,1325,2497,3822,2030,2108,720,1444,380,9986,4059,8017,1863,2507,1320,2680,4000,2529,2387,704,1555,547,44,10025,113.48146,37,45,0.451219512,No,No,No,No,No
DET,1980,N,3236,6986,1689,2330,1201,2111,3312,1819,2125,884,1759,492,8174,3499,6869,1663,2217,1090,2396,3486,2033,2095,793,1797,585,31,8692,103.4739,21,61,0.256097561,No,No,No,No,No
GSW,1980,N,3560,7284,1826,2513,1403,2366,3769,2026,2158,611,1547,301,9006,3631,7204,1804,2411,1137,2210,3347,2223,2093,714,1385,386,37,9103,103.02594,39,43,0.475609756,No,No,No,No,No
HOU,1980,N,3573,7335,1711,2223,1216,2347,3563,2099,1901,705,1451,390,8878,3617,7341,1568,2108,1177,2367,3544,2191,1977,689,1430,367,49,8851,103.16543,40,42,0.487804878,No,No,Yes,Yes,Yes
IND,1980,N,3491,7245,1815,2540,1325,2267,3592,2091,2006,833,1491,484,8827,3457,7071,1757,2290,1246,2407,3653,2113,2064,695,1655,439,41,8712,102.84245,44,38,0.536585366,Yes,No,Yes,No,No
KCK,1980,N,3572,7151,1576,2206,1037,2450,3487,2271,2092,719,1448,385,8769,3424,7117,1889,2500,1138,2510,3648,1857,2015,717,1520,383,31,8768,103.54015,40,42,0.487804878,No,No,Yes,Yes,No
LAL,1980,N,3780,7382,1540,2113,1165,2491,3656,2363,1955,808,1557,551,9117,3581,7701,1598,2158,1378,2274,3652,2280,1869,754,1473,357,42,8802,105.45966,54,28,0.658536585,Yes,No,Yes,No,No
MIL,1980,N,3722,7472,1802,2340,1261,2408,3669,2319,2198,862,1581,530,9276,3311,7220,2023,2701,1265,2209,3474,2033,2050,735,1670,400,35,8680,106.58259,60,22,0.731707317,Yes,No,Yes,No,No
NJN,1980,N,3477,7314,1780,2371,1092,2374,3466,2068,2204,750,1664,458,8768,3612,7159,2010,2663,1059,2499,3558,2144,2092,815,1637,502,28,9262,107.809,24,58,0.292682927,No,No,No,No,No
NYK,1980,N,3505,7255,1783,2386,1137,2205,3342,1976,1917,861,1461,314,8849,3555,7092,1563,2082,1147,2457,3604,2088,1994,689,1660,452,43,8716,103.65063,50,32,0.609756098,Yes,No,Yes,No,No
PHI,1980,N,3636,7073,1865,2427,1091,2618,3709,2369,2061,857,1702,591,9156,3307,7337,1850,2487,1286,2287,3573,2033,2044,818,1642,379,48,8512,106.00311,62,20,0.756097561,Yes,No,Yes,Yes,No
PHO,1980,N,3587,7326,1810,2430,1234,2490,3724,2205,1996,876,1733,416,9019,3368,7221,1762,2383,1160,2284,3444,1970,2116,912,1752,401,69,8567,107.31196,57,25,0.695121951,Yes,No,Yes,No,No
POR,1980,N,3741,7535,1573,2191,1243,2388,3631,2244,2034,769,1518,480,9080,3584,7351,1805,2377,1249,2419,3668,2109,1932,802,1575,422,34,9007,105.74782,45,37,0.548780488,Yes,No,Yes,No,No
SAS,1980,N,3571,7276,2052,2668,1304,2582,3886,2048,2114,685,1533,643,9209,3581,7582,1766,2387,1214,2177,3391,2206,2198,700,1422,481,45,8973,105.88248,52,30,0.634146342,Yes,No,Yes,No,No
SDC,1980,N,3477,7283,1651,2246,1169,2144,3313,2098,2078,764,1407,292,8737,3508,6951,1818,2433,1091,2377,3468,2097,2006,683,1553,392,33,8867,102.70078,36,46,0.43902439,No,No,No,No,No
SEA,1980,N,3343,7145,1813,2376,1167,2434,3601,1945,1986,628,1524,438,8531,3453,7421,1718,2323,1247,2357,3604,2044,2044,747,1348,387,42,8666,103.2979,34,48,0.414634146,No,No,No,No,No
UTA,1980,N,3332,6825,1595,2080,962,2325,3287,1948,2110,637,1423,386,8301,3430,7018,1879,2472,1154,2440,3594,1985,1855,596,1303,406,45,8784,99.455986,28,54,0.341463415,No,No,No,No,No
WA1,1980,N,3549,7517,1499,2072,1155,2533,3688,2151,1895,641,1422,392,8662,3518,7491,1588,2161,1204,2638,3842,2060,1888,739,1410,469,37,8661,104.8207,39,43,0.475609756,No,No,No,No,No
ATL,1981,N,3210,6776,1833,2387,1135,2368,3503,1815,2268,608,1343,485,8281,3150,6709,1891,2482,1135,2388,3523,1871,2179,578,1444,434,46,8237,97.573227,42,40,0.512195122,Yes,No,Yes,No,No
BOS,1981,N,3657,7334,1817,2457,1253,2489,3742,2126,2014,652,1452,568,9180,3490,7429,1638,2172,1193,2247,3440,1972,2240,681,1432,367,39,8657,104.18151,63,19,0.768292683,Yes,No,Yes,Yes,No
CHI,1981,N,3369,6728,1951,2545,1125,2525,3650,2043,2008,580,1636,483,8743,3659,7388,1533,2053,1134,2225,3359,2043,2220,807,1257,469,58,8909,101.37332,34,48,0.414634146,No,No,No,No,No
CLE,1981,N,3405,7334,1628,2179,1190,2170,3360,1871,2193,634,1319,357,8463,3608,7044,1906,2529,1125,2529,3654,2169,2071,655,1405,480,39,9161,101.88947,15,67,0.182926829,No,No,No,No,No
DAL,1981,N,3390,7224,1740,2366,1213,2228,3441,2117,2193,566,1317,313,8575,3530,6953,1847,2491,1108,2361,3469,1984,2243,643,1370,509,31,8938,100.811,28,54,0.341463415,No,No,No,No,No
DEN,1981,N,3980,7656,2371,2978,1149,2443,3592,2272,2131,664,1470,368,10371,4265,8142,1734,2354,1358,2459,3817,2516,2453,749,1476,569,64,10328,112.31236,46,36,0.56097561,Yes,No,Yes,No,No
DET,1981,N,3561,7391,1938,2581,1298,2345,3643,2027,2160,741,1629,564,9112,3749,7362,1648,2211,1159,2434,3593,2191,2383,782,1637,581,41,9187,106.79678,39,43,0.475609756,No,No,No,No,No
GSW,1981,N,3646,7349,1709,2382,1282,2452,3734,1820,2225,685,1424,391,9092,3555,7250,1857,2466,1112,2407,3519,2079,2156,661,1368,393,40,9007,103.53096,45,37,0.548780488,Yes,No,No,No,No
HOU,1981,N,3504,7366,1622,2225,1403,2284,3687,1977,1871,648,1321,429,8680,3566,7180,1503,2011,1170,2304,3474,2128,2047,678,1341,353,48,8683,99.71563,46,36,0.56097561,Yes,No,Yes,No,No
IND,1981,N,3332,7164,1612,2176,1141,2372,3513,1897,2041,753,1393,494,8379,3470,7062,1558,2133,1204,2598,3802,2053,2016,678,1517,397,34,8532,100.85258,35,47,0.426829268,No,No,No,No,No
KCK,1981,N,3604,7284,1551,2158,1086,2276,3362,2056,2359,743,1507,402,8785,3493,6984,2005,2653,1171,2552,3723,1853,2136,707,1609,450,48,9039,104.21825,30,52,0.365853659,No,No,No,No,No
LAL,1981,N,3919,7585,1549,2161,1258,2505,3763,2356,1999,848,1468,517,9400,3745,7679,1433,2008,1275,2255,3530,2319,2004,718,1483,435,78,9001,105.86531,57,25,0.695121951,Yes,Yes,Yes,Yes,Yes
MIL,1981,N,3544,7015,1753,2329,1167,2415,3582,2233,2281,763,1589,455,8890,3297,7066,1790,2470,1172,2155,3327,2016,2189,720,1538,350,57,8441,102.62704,55,27,0.670731707,Yes,No,Yes,No,No
NJN,1981,N,3501,7227,1714,2354,1194,2320,3514,2096,2295,918,1650,481,8746,3343,6934,1946,2597,1142,2346,3488,1931,2164,832,1809,539,58,8690,105.53943,44,38,0.536585366,Yes,No,No,No,No
NYK,1981,N,3523,7178,1603,2171,1168,2273,3441,2075,2195,719,1486,338,8707,3541,7018,1793,2369,1125,2366,3491,2089,2017,703,1462,358,51,8926,101.82951,33,49,0.402439024,No,No,Yes,No,No
PHI,1981,N,3616,6974,1846,2471,1031,2389,3420,2264,2183,856,1474,622,9119,3371,7083,1852,2496,1289,2344,3633,1965,2216,702,1615,470,55,8649,102.81392,58,24,0.707317073,Yes,No,Yes,Yes,Yes
PHO,1981,N,3508,7140,1635,2157,1123,2517,3640,2223,2029,753,1528,429,8705,3350,7186,1671,2215,1158,2366,3524,1949,2064,775,1391,360,51,8422,102.0657,46,36,0.56097561,Yes,No,Yes,Yes,No
POR,1981,N,3629,7187,1719,2387,1142,2355,3497,2054,2012,706,1390,367,9006,3637,7293,1629,2149,1221,2367,3588,2114,2142,708,1452,427,54,8957,102.4716,42,40,0.512195122,Yes,No,No,No,No
SAS,1981,N,3698,7613,1812,2335,1253,2537,3790,2257,2217,600,1293,555,9272,3566,7385,1893,2497,1151,2434,3585,2036,2179,611,1352,429,58,9083,104.951,48,34,0.585365854,Yes,No,Yes,Yes,No
SDC,1981,N,3552,7101,1693,2341,1131,2196,3327,1878,2353,636,1570,299,8896,3739,7105,1988,2647,1033,2276,3309,2129,2124,772,1334,487,36,9502,103.59502,17,65,0.207317073,No,No,No,No,No
SEA,1981,N,3505,7178,1747,2362,1103,2544,3647,2103,2057,691,1351,460,8795,3411,7407,1586,2183,1241,2420,3661,1994,2150,660,1405,311,48,8456,102.7252,52,30,0.634146342,Yes,No,Yes,Yes,No
UTA,1981,N,3679,7446,1714,2282,1147,2362,3509,1895,2196,700,1435,357,9094,3835,7530,1837,2466,1253,2599,3852,2148,2052,663,1413,420,51,9558,105.84573,25,57,0.304878049,No,No,No,No,No
WA1,1981,N,3400,7168,1626,2105,1047,2583,3630,1983,2072,643,1390,397,8485,3362,7229,1645,2237,1110,2516,3626,1889,1907,624,1325,543,44,8413,101.93153,43,39,0.524390244,Yes,No,Yes,Yes,No
ATL,1982,N,3352,7146,1586,2111,1139,2433,3572,1945,2022,573,1424,665,8335,3383,7201,1608,2235,1303,2571,3874,1927,1981,656,1468,388,39,8413,100.98724,43,39,0.524390244,Yes,No,Yes,No,No
BOS,1982,N,3711,7547,1730,2348,1273,2532,3805,2216,2062,789,1541,521,9191,3477,7401,1750,2307,1186,2393,3579,2027,2137,699,1607,340,48,8752,106.88575,56,26,0.682926829,Yes,No,Yes,Yes,No
CHI,1982,N,3537,7373,1983,2690,1267,2527,3794,2086,2192,666,1743,400,9102,3816,7712,1825,2438,1197,2456,3653,2230,2266,845,1462,633,46,9503,109.28586,28,54,0.341463415,No,No,No,No,No
CLE,1982,N,3252,6995,1430,1983,1173,2414,3587,1738,2236,617,1538,290,7964,3381,6911,1780,2396,974,2382,3356,2005,1830,621,1275,431,32,8574,99.715149,23,59,0.280487805,No,No,No,No,No
DAL,1982,N,3674,7550,1852,2462,1296,2381,3677,2227,2067,552,1348,348,9243,3758,7481,1708,2347,1217,2433,3650,2291,2227,607,1383,562,53,9277,104.95028,38,44,0.463414634,No,No,No,No,No
DEN,1982,N,3951,7999,2179,2696,1214,2524,3738,2336,2091,789,1496,352,10105,4098,8120,1787,2393,1369,2697,4066,2389,2356,728,1636,611,71,10054,114.27103,45,37,0.548780488,Yes,No,Yes,Yes,No
DET,1982,N,3623,7602,1921,2588,1312,2477,3789,2108,2122,679,1557,572,9239,3802,7679,1647,2287,1266,2594,3860,2252,2326,761,1580,561,21,9272,108.69768,37,45,0.451219512,No,No,No,No,No
GSW,1982,N,3627,7508,1620,2199,1281,2284,3565,1964,2138,856,1606,430,8908,3706,7260,1751,2391,1249,2495,3744,2170,2026,758,1690,489,42,9205,106.09039,30,52,0.365853659,No,No,No,No,No
HOU,1982,N,3338,7446,1402,1934,1206,2260,3466,1931,2131,646,1571,422,8145,3641,7244,1781,2375,1198,2710,3908,2252,1933,772,1504,406,33,9096,104.29755,14,68,0.170731707,No,No,No,No,No
IND,1982,N,3707,7723,1447,1910,1299,2294,3593,2150,2086,755,1535,411,8911,3768,7284,1815,2413,1206,2564,3770,2237,1886,761,1643,439,40,9391,106.26276,20,62,0.243902439,No,No,No,No,No
KCK,1982,N,3719,7485,1839,2530,1256,2407,3663,2155,2432,765,1691,409,9328,3531,7250,2107,2885,1250,2403,3653,1997,2245,809,1716,439,40,9209,108.90075,45,37,0.548780488,Yes,No,No,No,No
LAL,1982,N,3964,7512,1495,2031,1235,2433,3668,2519,1931,844,1584,479,9433,3734,7617,1455,2008,1294,2166,3460,2389,1863,766,1562,380,55,8978,105.90641,58,24,0.707317073,Yes,No,Yes,Yes,Yes
MIL,1982,N,3486,7133,1731,2299,1095,2477,3572,2116,2131,662,1447,532,8740,3338,7318,1665,2243,1303,2343,3646,2043,2145,623,1523,300,38,8379,102.87436,51,31,0.62195122,Yes,No,Yes,Yes,No
NJN,1982,N,3510,7140,1622,2301,1266,2427,3693,2143,2166,911,1873,592,8672,3327,6962,1746,2370,1102,2176,3278,1978,2129,860,1871,495,45,8445,105.96733,49,33,0.597560976,Yes,No,Yes,No,No
NYK,1982,N,3272,6793,1621,2282,1080,2263,3343,2034,2180,701,1509,378,8198,3132,6592,1695,2260,1073,2337,3410,1873,2116,694,1682,399,38,7997,99.248085,44,38,0.536585366,Yes,No,Yes,Yes,No
PHI,1982,N,3600,7212,1966,2650,1334,2596,3930,2016,2041,812,1627,577,9191,3442,7470,1624,2253,1325,2263,3588,2089,2246,755,1590,511,54,8562,105.14586,65,17,0.792682927,Yes,Yes,Yes,Yes,Yes
PHO,1982,N,3555,7158,1626,2189,1094,2518,3612,2300,2062,749,1545,495,8776,3305,7265,1707,2268,1210,2326,3536,1988,2039,712,1560,343,44,8361,103.86312,53,29,0.646341463,Yes,No,Yes,No,No
