team,year,league,free throws made,assists,total points,made shots allowed,shot attempts allowed,Over 500,Champion,Playoffs,Playoff Win,Final 2
NOJ,1976,N,1688,1854,8574,3486,7712,0,0,0,0,0
NYK,1976,N,1587,1956,8905,3577,7610,0,0,0,0,0
NYN,1976,N,1673,1422,7865,3279,7074,0,0,0,0,0
PHI,1976,N,2012,1966,9034,3575,7920,1,0,1,1,1
PHO,1976,N,1791,2100,8603,3320,7192,0,0,0,0,0
POR,1976,N,1917,1990,9163,3408,7404,1,1,1,1,1
SAS,1976,N,2010,2115,9432,3935,8075,1,0,1,0,0
SEA,1976,N,1646,1772,8524,3394,7339,0,0,0,0,0
WA1,1976,N,1622,1935,8650,3552,7751,1,0,1,1,0
ATL,1977,N,1836,1901,8506,3162,6671,0,0,1,0,0
BOS,1977,N,1682,1969,8670,3539,7761,0,0,0,0,0
BUF,1977,N,1808,1975,8634,3623,7609,0,0,0,0,0
CHI,1977,N,1863,2119,8523,3565,7273,0,0,0,0,0
CLE,1977,N,1569,1740,8561,3474,7620,1,0,1,0,0
DEN,1977,N,2068,2187,9164,3678,7799,1,0,1,1,0
DET,1977,N,1832,1840,8936,3688,7706,0,0,0,0,0
GSW,1977,N,1550,2097,8698,3425,7368,1,0,0,0,0
HOU,1977,N,1467,1942,8513,3571,7404,0,0,0,0,0
IND,1977,N,1904,1982,8904,3634,7663,0,0,0,0,0
KCK,1977,N,1775,1992,8977,3564,7521,0,0,0,0,0
LAL,1977,N,1576,2229,9044,3648,7880,1,0,1,0,0
MIL,1977,N,1612,2306,9214,3715,7728,1,0,1,1,0
NJN,1977,N,1652,1879,8746,3544,7620,0,0,0,0,0
NOJ,1977,N,1690,2079,8826,3659,7938,0,0,0,0,0
NYK,1977,N,1670,2338,9300,3658,7742,1,0,1,1,0
PHI,1977,N,2153,2220,9409,3592,7788,1,0,1,1,0
PHO,1977,N,1749,2338,9211,3578,7622,1,0,1,0,0
POR,1977,N,1717,2067,8829,3289,7318,1,0,1,0,0
SAS,1977,N,1797,2240,9385,3808,8063,1,0,1,0,0
SEA,1977,N,1675,1799,8565,3384,7377,1,0,1,1,1
WA1,1977,N,1887,1948,9047,3767,8065,1,1,1,1,1
ATL,1978,N,1940,1938,8950,3367,6886,1,0,1,1,0
BOS,1978,N,1820,1995,8874,3855,7593,0,0,0,0,0
CHI,1978,N,1632,2169,8588,3682,7408,0,0,0,0,0
CLE,1978,N,1620,1796,8732,3600,7150,0,0,0,0,0
DEN,1978,N,2046,2166,9080,3631,7616,1,0,1,0,0
DET,1978,N,1607,2092,9023,3755,7623,0,0,0,0,0
GSW,1978,N,1367,2064,8621,3493,7255,0,0,0,0,0
HOU,1978,N,1845,2302,9297,3795,7625,1,0,1,0,0
IND,1978,N,1759,2005,8909,3586,7499,0,0,0,0,0
KCK,1978,N,1746,2239,9274,3434,7061,1,0,1,0,0
LAL,1978,N,1606,2338,9260,3797,7848,1,0,1,1,0
MIL,1978,N,1541,2562,9353,3676,7505,0,0,0,0,0
NJN,1978,N,1904,1907,8832,3507,7306,0,0,1,0,0
NOJ,1978,N,1848,2079,8882,3864,8039,0,0,0,0,0
NYK,1978,N,1478,2121,8830,3600,7457,0,0,0,0,0
PHI,1978,N,1815,2253,8983,3542,7626,1,0,1,1,0
PHO,1978,N,1765,2500,9459,3775,7626,1,0,1,1,0
POR,1978,N,1806,1946,8888,3448,7059,1,0,1,0,0
SAS,1978,N,1926,2313,9780,3798,7970,1,0,1,1,0
SDC,1978,N,1836,1539,9278,3832,7801,1,0,0,0,0
SEA,1978,N,1732,1973,8740,3475,7509,1,1,1,1,1
WA1,1978,N,1785,2169,9423,3804,8011,1,0,1,1,1
ATL,1979,N,2038,1913,8573,3144,6872,1,0,1,0,0
BOS,1979,N,1907,2198,9303,3439,7313,1,0,1,1,0
CHI,1979,N,2019,2152,8813,3585,7222,0,0,0,0,0
CLE,1979,N,1702,2108,9360,3811,7610,0,0,0,0,0
DEN,1979,N,1871,2079,8878,3736,7591,0,0,0,0,0
DET,1979,N,1590,1950,8933,3847,7761,0,0,0,0,0
GSW,1979,N,1412,2028,8493,3438,6975,0,0,0,0,0
HOU,1979,N,1782,2149,9084,3658,7382,0,0,1,1,0
IND,1979,N,1753,2148,9119,3693,7545,0,0,0,0,0
KCK,1979,N,1671,2123,8860,3328,6992,1,0,1,0,0
LAL,1979,N,1622,2413,9438,3723,7921,1,1,1,1,1
MIL,1979,N,1605,2277,9025,3456,7487,1,0,1,0,0
NJN,1979,N,1882,2094,8879,3480,7427,0,0,0,0,0
NYK,1979,N,1698,2265,9344,3707,7492,0,0,0,0,0
PHI,1979,N,1876,2226,8949,3444,7561,1,0,1,1,1
PHO,1979,N,1906,2283,9114,3563,7480,1,0,1,1,0
POR,1979,N,1560,1898,8402,3349,7008,0,0,1,0,0
SAS,1979,N,2024,2326,9788,4000,7997,0,0,1,0,0
SDC,1979,N,1595,1688,8820,3752,7508,0,0,0,0,0
SEA,1979,N,1730,2043,8897,3408,7424,1,0,1,1,0
UTA,1979,N,1571,2005,8394,3559,7182,0,0,0,0,0
WA1,1979,N,1552,2201,8773,3615,7771,0,0,1,0,0
ATL,1980,N,2012,1846,8604,3401,6867,0,0,0,0,0
BOS,1980,N,1781,2202,9008,3372,7296,1,1,1,1,1
CHI,1980,N,1985,1925,8937,3527,7209,1,0,1,1,0
CLE,1980,N,1486,2007,8670,3608,7174,0,0,0,0,0
DAL,1980,N,1868,1984,8322,3622,7060,0,0,0,0,0
DEN,1980,N,2388,2030,9986,4059,8017,0,0,0,0,0
DET,1980,N,1689,1819,8174,3499,6869,0,0,0,0,0
GSW,1980,N,1826,2026,9006,3631,7204,0,0,0,0,0
HOU,1980,N,1711,2099,8878,3617,7341,0,0,1,1,1
IND,1980,N,1815,2091,8827,3457,7071,1,0,1,0,0
KCK,1980,N,1576,2271,8769,3424,7117,0,0,1,1,0
LAL,1980,N,1540,2363,9117,3581,7701,1,0,1,0,0
MIL,1980,N,1802,2319,9276,3311,7220,1,0,1,0,0
NJN,1980,N,1780,2068,8768,3612,7159,0,0,0,0,0
NYK,1980,N,1783,1976,8849,3555,7092,1,0,1,0,0
PHI,1980,N,1865,2369,9156,3307,7337,1,0,1,1,0
PHO,1980,N,1810,2205,9019,3368,7221,1,0,1,0,0
POR,1980,N,1573,2244,9080,3584,7351,1,0,1,0,0
SAS,1980,N,2052,2048,9209,3581,7582,1,0,1,0,0
SDC,1980,N,1651,2098,8737,3508,6951,0,0,0,0,0
SEA,1980,N,1813,1945,8531,3453,7421,0,0,0,0,0
UTA,1980,N,1595,1948,8301,3430,7018,0,0,0,0,0
WA1,1980,N,1499,2151,8662,3518,7491,0,0,0,0,0
ATL,1981,N,1833,1815,8281,3150,6709,1,0,1,0,0
BOS,1981,N,1817,2126,9180,3490,7429,1,0,1,1,0
CHI,1981,N,1951,2043,8743,3659,7388,0,0,0,0,0
CLE,1981,N,1628,1871,8463,3608,7044,0,0,0,0,0
DAL,1981,N,1740,2117,8575,3530,6953,0,0,0,0,0
DEN,1981,N,2371,2272,10371,4265,8142,1,0,1,0,0
DET,1981,N,1938,2027,9112,3749,7362,0,0,0,0,0
GSW,1981,N,1709,1820,9092,3555,7250,1,0,0,0,0
HOU,1981,N,1622,1977,8680,3566,7180,1,0,1,0,0
IND,1981,N,1612,1897,8379,3470,7062,0,0,0,0,0
KCK,1981,N,1551,2056,8785,3493,6984,0,0,0,0,0
LAL,1981,N,1549,2356,9400,3745,7679,1,1,1,1,1
MIL,1981,N,1753,2233,8890,3297,7066,1,0,1,0,0
NJN,1981,N,1714,2096,8746,3343,6934,1,0,0,0,0
NYK,1981,N,1603,2075,8707,3541,7018,0,0,1,0,0
PHI,1981,N,1846,2264,9119,3371,7083,1,0,1,1,1
PHO,1981,N,1635,2223,8705,3350,7186,1,0,1,1,0
POR,1981,N,1719,2054,9006,3637,7293,1,0,0,0,0
SAS,1981,N,1812,2257,9272,3566,7385,1,0,1,1,0
SDC,1981,N,1693,1878,8896,3739,7105,0,0,0,0,0
SEA,1981,N,1747,2103,8795,3411,7407,1,0,1,1,0
UTA,1981,N,1714,1895,9094,3835,7530,0,0,0,0,0
WA1,1981,N,1626,1983,8485,3362,7229,1,0,1,1,0
ATL,1982,N,1586,1945,8335,3383,7201,1,0,1,0,0
BOS,1982,N,1730,2216,9191,3477,7401,1,0,1,1,0
CHI,1982,N,1983,2086,9102,3816,7712,0,0,0,0,0
CLE,1982,N,1430,1738,7964,3381,6911,0,0,0,0,0
DAL,1982,N,1852,2227,9243,3758,7481,0,0,0,0,0
DEN,1982,N,2179,2336,10105,4098,8120,1,0,1,1,0
DET,1982,N,1921,2108,9239,3802,7679,0,0,0,0,0
GSW,1982,N,1620,1964,8908,3706,7260,0,0,0,0,0
HOU,1982,N,1402,1931,8145,3641,7244,0,0,0,0,0
IND,1982,N,1447,2150,8911,3768,7284,0,0,0,0,0
KCK,1982,N,1839,2155,9328,3531,7250,1,0,0,0,0
LAL,1982,N,1495,2519,9433,3734,7617,1,0,1,1,1
MIL,1982,N,1731,2116,8740,3338,7318,1,0,1,1,0
NJN,1982,N,1622,2143,8672,3327,6962,1,0,1,0,0
NYK,1982,N,1621,2034,8198,3132,6592,1,0,1,1,0
PHI,1982,N,1966,2016,9191,3442,7470,1,1,1,1,1
PHO,1982,N,1626,2300,8776,3305,7265,1,0,1,0,0
POR,1982,N,1855,2030,8808,3503,7211,1,0,1,1,0
SAS,1982,N,1887,2261,9375,3654,7531,1,0,1,1,0
SDC,1982,N,1589,2087,8903,3652,6910,0,0,0,0,0
SEA,1982,N,1796,2278,9019,3546,7703,1,0,1,0,0
UTA,1982,N,1844,2176,8938,3794,7932,0,0,0,0,0
WA1,1982,N,1452,2046,8134,3299,7044,1,0,0,0,0
ATL,1983,N,1838,1827,8321,3277,6845,0,0,1,0,0
BOS,1983,N,1907,2122,9194,3463,7372,1,1,1,1,1
CHI,1983,N,1871,2095,8501,3502,7082,0,0,0,0,0
CLE,1983,N,1619,1930,8386,3373,6930,0,0,0,0,0
DAL,1983,N,1774,2164,9052,3633,7282,1,0,1,1,0
DEN,1983,N,2200,2482,10147,4016,7747,0,0,1,0,0
DET,1983,N,1974,2256,9602,3657,7369,1,0,1,0,0
GSW,1983,N,1915,1837,9008,3725,7210,0,0,0,0,0
HOU,1983,N,1583,2204,9071,3583,7412,0,0,0,0,0
IND,1983,N,1624,2169,8566,3552,7175,0,0,0,0,0
KCK,1983,N,1939,2229,9023,3601,7169,0,0,1,0,0
LAL,1983,N,1712,2455,9478,3672,7600,1,0,1,1,1
MIL,1983,N,1743,2113,8666,3207,7033,1,0,1,1,0
NJN,1983,N,1742,2148,9019,3422,6974,1,0,1,1,0
NYK,1983,N,1944,2041,8763,3260,6687,1,0,1,1,0
PHI,1983,N,2041,2032,8838,3427,7136,1,0,1,0,0
PHO,1983,N,1673,2214,9101,3509,7061,0,0,1,1,0
POR,1983,N,1988,2082,9277,3566,6943,1,0,1,0,0
SAS,1983,N,1965,2361,9862,3996,7910,0,0,0,0,0
SDC,1983,N,1785,1981,9077,3771,7406,0,0,0,0,0
SEA,1983,N,1918,2233,8865,3585,7337,1,0,1,0,0
UTA,1983,N,2115,2230,9428,3745,7872,1,0,1,1,0
WA1,1983,N,1664,2192,8423,3465,7086,0,0,1,0,0
ATL,1984,N,1782,2009,8743,3504,7267,0,0,0,0,0
BOS,1984,N,1860,2287,9412,3642,7642,1,0,1,1,1
CHI,1984,N,1981,1992,8916,3521,7210,0,0,1,0,0
CLE,1984,N,1867,2096,8903,3547,7415,0,0,1,0,0
DAL,1984,N,1844,2152,9116,3626,7200,1,0,1,0,0
DEN,1984,N,2016,2266,9841,3775,7379,1,0,1,1,0
DET,1984,N,1783,2302,9508,3700,7457,1,0,1,1,0
GSW,1984,N,1944,1759,9052,3839,7165,0,0,0,0,0
HOU,1984,N,1581,2239,9118,3500,7274,1,0,1,0,0
IND,1984,N,1871,1945,8879,3628,7332,0,0,0,0,0
KCK,1984,N,2022,2342,9413,3805,7461,0,0,0,0,0
LAC,1984,N,1674,1934,8784,3737,7630,0,0,0,0,0
