team,year,league,free throws made,assists,total points,made shots allowed,shot attempts allowed,Over 500,Champion,Playoffs,Playoff Win,Final 2
UTA,1989,N,1874,2212,8760,3164,6949,1,0,1,0,0
WA1,1989,N,1599,2214,8832,3511,7403,0,0,0,0,0
ATL,1990,N,2034,1864,9003,3568,7219,1,0,1,0,0
BOS,1990,N,1646,2160,9145,3419,7559,1,0,1,1,0
CHA,1990,N,1725,2019,8428,3408,6915,0,0,0,0,0
CHI,1990,N,1605,2212,9024,3267,6884,1,1,1,1,1
CLE,1990,N,1665,2240,8343,3459,7117,0,0,0,0,0
DAL,1990,N,1512,1821,8195,3346,6945,0,0,0,0,0
DEN,1990,N,1726,2005,9828,4076,7962,0,0,0,0,0
DET,1990,N,1686,1825,8205,3053,6743,1,0,1,1,0
GSW,1990,N,2162,1954,9564,3544,7349,1,0,1,1,0
HOU,1990,N,1631,1906,8753,3337,7316,1,0,1,0,0
IND,1990,N,2010,2181,9159,3577,7299,0,0,1,0,0
LAC,1990,N,1596,2119,8491,3337,7151,0,0,0,0,0
LAL,1990,N,1805,2091,8717,3354,7262,1,0,1,1,1
MIA,1990,N,1649,1904,8349,3335,6974,0,0,0,0,0
MIL,1990,N,1796,2075,8727,3290,6775,1,0,1,0,0
MIN,1990,N,1531,1885,8169,3320,6778,0,0,0,0,0
NJN,1990,N,1658,1782,8441,3374,7206,0,0,0,0,0
NYK,1990,N,1654,2172,8455,3410,7162,0,0,1,0,0
ORL,1990,N,1818,1809,8684,3454,7232,0,0,0,0,0
PHI,1990,N,1868,1824,8641,3536,7432,1,0,1,1,0
PHO,1990,N,2064,2209,9348,3462,7499,1,0,1,0,0
POR,1990,N,1912,2254,9407,3320,7275,1,0,1,1,0
SAC,1990,N,1540,1991,7928,3142,6687,0,0,0,0,0
SAS,1990,N,1883,2140,8782,3265,7289,1,0,1,0,0
SEA,1990,N,1608,2042,8744,3285,6738,0,0,1,0,0
UTA,1990,N,1951,2217,8527,3217,7011,1,0,1,1,0
WA1,1990,N,1478,2081,8313,3396,7280,0,0,0,0,0
ATL,1991,N,1517,2123,8711,3523,7342,0,0,0,0,0
BOS,1991,N,1549,2072,8745,3323,7293,1,0,1,1,0
CHA,1991,N,1637,2284,8980,3717,7495,0,0,0,0,0
CHI,1991,N,1587,2279,9011,3206,6970,1,1,1,1,1
CLE,1991,N,1819,2260,8926,3496,7435,1,0,1,1,0
DAL,1991,N,1499,1630,8007,3314,7051,0,0,0,0,0
DEN,1991,N,1526,1553,8176,3346,6967,0,0,0,0,0
DET,1991,N,1566,1899,8113,3157,6973,1,0,1,0,0
GSW,1991,N,1944,2064,9732,3616,7507,1,0,1,0,0
HOU,1991,N,1491,2058,8366,3391,7317,1,0,0,0,0
IND,1991,N,1868,2398,9197,3425,7312,0,0,1,0,0
LAC,1991,N,1601,2053,8440,3211,6997,1,0,1,0,0
LAL,1991,N,1744,1803,8229,3408,7095,1,0,1,0,0
MIA,1991,N,1839,1749,8608,3529,7157,0,0,1,0,0
MIL,1991,N,1596,2018,8609,3445,6911,0,0,0,0,0
MIN,1991,N,1379,2025,8237,3453,7116,0,0,0,0,0
NJN,1991,N,1471,1937,8641,3422,7175,0,0,1,0,0
NYK,1991,N,1503,2130,8328,3082,6727,1,0,1,1,0
ORL,1991,N,1693,1792,8330,3426,7045,0,0,0,0,0
PHI,1991,N,1757,1755,8358,3449,7145,0,0,0,0,0
PHO,1991,N,1861,2202,9194,3429,7477,1,0,1,1,0
POR,1991,N,1858,2065,9135,3249,7150,1,0,1,1,1
SAC,1991,N,1615,1957,8549,3557,7420,0,0,0,0,0
SAS,1991,N,1652,2010,8524,3211,7098,1,0,1,0,0
SEA,1991,N,1772,1877,8737,3263,6864,1,0,1,1,0
UTA,1991,N,1961,2188,8877,3292,7178,1,0,1,1,0
WA1,1991,N,1521,2011,8395,3431,7174,0,0,0,0,0
ATL,1992,N,1648,2084,8814,3509,7074,1,0,1,0,0
BOS,1992,N,1486,1999,8502,3232,6980,1,0,1,0,0
CHA,1992,N,1831,2161,9030,3634,7698,1,0,1,1,0
CHI,1992,N,1431,2133,8625,3139,6622,1,1,1,1,1
CLE,1992,N,1699,2349,8832,3370,7229,1,0,1,1,0
DAL,1992,N,1530,1683,8141,3401,6783,0,0,0,0,0
DEN,1992,N,1784,1735,8626,3324,7214,0,0,0,0,0
DET,1992,N,1426,1941,8252,3321,6906,0,0,0,0,0
GSW,1992,N,1768,2010,9014,3471,7197,0,0,0,0,0
HOU,1992,N,1584,2115,8531,3255,7129,1,0,1,1,0
IND,1992,N,1837,2144,8836,3262,6955,0,0,1,0,0
LAC,1992,N,1562,2242,8783,3311,7051,0,0,1,0,0
LAL,1992,N,1741,2013,8546,3438,7116,0,0,1,0,0
MIA,1992,N,1908,1688,8495,3232,6791,0,0,0,0,0
MIL,1992,N,1544,2084,8392,3303,6843,0,0,0,0,0
MIN,1992,N,1794,2001,8046,3323,6814,0,0,0,0,0
NJN,1992,N,1732,1872,8431,3231,6945,1,0,1,0,0
NYK,1992,N,1717,2125,8328,2822,6621,1,0,1,1,0
ORL,1992,N,1821,1952,8652,3307,7255,0,0,0,0,0
PHI,1992,N,1776,2038,8556,3666,7548,0,0,0,0,0
PHO,1992,N,1912,2087,9298,3500,7307,1,0,1,1,1
POR,1992,N,1901,1969,8898,3337,7125,1,0,1,0,0
SAC,1992,N,1865,2075,8847,3420,7024,0,0,0,0,0
SAS,1992,N,1794,2012,8652,3290,7177,1,0,1,1,0
SEA,1992,N,1720,1906,8884,3143,6707,1,0,1,1,0
UTA,1992,N,1907,2177,8709,3258,6970,1,0,1,0,0
WA1,1992,N,1575,2110,8353,3557,7214,0,0,0,0,0
ATL,1993,N,1556,2056,8318,3163,6954,1,0,1,1,0
BOS,1993,N,1463,1928,8267,3357,7034,0,0,0,0,0
CHA,1993,N,1632,2214,8732,3463,7359,0,0,0,0,0
CHI,1993,N,1310,2102,8033,3029,6542,1,0,1,1,0
CLE,1993,N,1736,2049,8296,3131,6741,1,0,1,0,0
DAL,1993,N,1450,1629,7801,3212,6508,0,0,0,0,0
DEN,1993,N,1739,1763,8221,3065,7000,1,0,1,1,0
DET,1993,N,1253,1767,7949,3255,6878,0,0,0,0,0
GSW,1993,N,1529,2198,8844,3428,7332,1,0,1,0,0
HOU,1993,N,1469,2087,8292,3152,7166,1,1,1,1,1
IND,1993,N,1762,2055,8280,2978,6614,1,0,1,1,0
LAC,1993,N,1509,2169,8447,3512,7421,0,0,0,0,0
LAL,1993,N,1410,1983,8233,3337,7008,0,0,0,0,0
MIA,1993,N,1744,1856,8475,3036,6641,1,0,1,0,0
MIL,1993,N,1530,1946,7949,3255,6625,0,0,0,0,0
MIN,1993,N,1777,1967,7930,3244,6874,0,0,0,0,0
NJN,1993,N,1900,1900,8461,3266,7125,1,0,1,0,0
NYK,1993,N,1564,2067,8076,2783,6451,1,0,1,1,1
ORL,1993,N,1590,2070,8666,3263,7125,1,0,1,0,0
PHI,1993,N,1509,1827,8033,3549,7338,0,0,0,0,0
PHO,1993,N,1674,2261,8876,3379,7135,1,0,1,1,0
POR,1993,N,1781,2070,8795,3311,7057,1,0,1,0,0
SAC,1993,N,1676,2029,8291,3360,7017,0,0,0,0,0
SAS,1993,N,1597,1896,8202,3066,6880,1,0,1,0,0
SEA,1993,N,1769,2112,8687,2928,6459,1,0,1,0,0
UTA,1993,N,1761,2179,8354,2973,6641,1,0,1,1,0
WA1,1993,N,1618,1823,8229,3569,7026,0,0,0,0,0
ATL,1994,N,1410,1757,7921,3001,6485,1,0,1,0,0
BOS,1994,N,1708,1783,8428,3303,6820,0,0,1,0,0
CHA,1994,N,1587,2072,8249,3088,6807,1,0,1,0,0
CHI,1994,N,1500,1970,8325,2923,6399,1,0,1,1,0
CLE,1994,N,1507,1672,7417,2803,6083,1,0,1,0,0
DAL,1994,N,1622,1941,8462,3407,6982,0,0,0,0,0
DEN,1994,N,1700,1836,8309,3050,6695,0,0,1,0,0
DET,1994,N,1439,1872,8053,3120,6558,0,0,0,0,0
GSW,1994,N,1687,2017,8667,3527,7233,0,0,0,0,0
HOU,1994,N,1527,2060,8491,3202,7061,1,1,1,1,1
IND,1994,N,1796,1877,8136,2921,6408,1,0,1,1,0
LAC,1994,N,1476,1805,7927,3207,6470,0,0,0,0,0
LAL,1994,N,1523,2078,8616,3299,7050,1,0,1,1,0
MIA,1994,N,1569,1779,8293,3092,6566,0,0,0,0,0
MIL,1994,N,1608,1737,8146,3248,6589,0,0,0,0,0
MIN,1994,N,1824,1780,7726,3088,6509,0,0,0,0,0
NJN,1994,N,1750,1884,8042,3182,6904,0,0,0,0,0
NYK,1994,N,1552,2055,8054,2800,6410,1,0,1,1,0
ORL,1994,N,1648,2281,9091,3242,7093,1,0,1,1,1
PHI,1994,N,1567,1566,7820,3100,6663,0,0,0,0,0
PHO,1994,N,1777,2198,9073,3320,6963,1,0,1,1,0
POR,1994,N,1555,1846,8451,2951,6465,1,0,1,0,0
SAC,1994,N,1647,1824,8056,2964,6549,0,0,0,0,0
SAS,1994,N,1836,1919,8742,3168,6974,1,0,1,1,0
SEA,1994,N,1944,2115,9055,3008,6637,1,0,1,0,0
UTA,1994,N,1939,2256,8726,2845,6282,1,0,1,0,0
WA1,1994,N,1457,1749,8242,3246,6768,0,0,0,0,0
ATL,1995,N,1523,1609,8059,3044,6419,1,0,1,1,0
BOS,1995,N,1630,1792,8495,3296,6856,0,0,0,0,0
CHA,1995,N,1631,1907,8431,3254,6651,0,0,0,0,0
CHI,1995,N,1495,2033,8625,2880,6428,1,1,1,1,1
CLE,1995,N,1355,1818,7473,2674,5787,1,0,1,0,0
DAL,1995,N,1426,1913,8409,3403,6921,0,0,0,0,0
DEN,1995,N,1614,1851,8013,3091,6741,0,0,0,0,0
DET,1995,N,1657,1610,7822,2827,6375,1,0,1,0,0
GSW,1995,N,1775,1889,8334,3206,6753,0,0,0,0,0
HOU,1995,N,1611,1982,8404,3178,6910,1,0,1,1,0
IND,1995,N,1823,1917,8144,2841,6291,1,0,1,0,0
LAC,1995,N,1392,1672,8153,3090,6471,0,0,0,0,0
LAL,1995,N,1529,2080,8438,3118,6806,1,0,1,0,0
MIA,1995,N,1553,1752,7909,2734,6303,1,0,1,0,0
MIL,1995,N,1412,1755,7837,3084,6421,0,0,0,0,0
MIN,1995,N,1797,1867,8024,3086,6586,0,0,0,0,0
NJN,1995,N,1672,1752,7684,3006,6625,0,0,0,0,0
NYK,1995,N,1480,1822,7971,2859,6471,1,0,1,1,0
ORL,1995,N,1543,2080,8571,3060,6736,1,0,1,1,0
PHI,1995,N,1662,1629,7746,3284,6796,0,0,0,0,0
PHO,1995,N,1907,2001,8552,3217,6837,0,0,1,0,0
POR,1995,N,1537,1760,8145,2953,6677,1,0,1,0,0
SAC,1995,N,1759,1829,8163,2987,6461,0,0,1,0,0
SAS,1995,N,1663,2044,8477,3017,6866,1,0,1,1,0
SEA,1995,N,1843,1999,8572,2873,6553,1,0,1,1,1
TOR,1995,N,1412,1927,7994,3146,6624,0,0,0,0,0
UTA,1995,N,1769,2139,8404,2747,6174,1,0,1,1,0
VAN,1995,N,1446,1706,7362,3080,6486,0,0,0,0,0
WA1,1995,N,1511,1815,8408,3061,6650,0,0,0,0,0
ATL,1996,N,1491,1557,7774,2804,6451,1,0,1,1,0
BOS,1996,N,1649,1792,8248,3365,6696,0,0,0,0,0
CHA,1996,N,1541,2021,8108,3056,6650,1,0,1,0,0
CHI,1996,N,1381,2142,8458,2898,6653,1,1,1,1,1
CLE,1996,N,1282,1714,7173,2488,5638,1,0,0,0,0
DAL,1996,N,1375,1663,7431,2966,6469,0,0,0,0,0
DEN,1996,N,1516,1889,8020,3297,7063,0,0,0,0,0
DET,1996,N,1487,1554,7723,2768,6231,1,0,1,0,0
GSW,1996,N,1696,1822,8171,3199,6735,0,0,0,0,0
HOU,1996,N,1503,2013,8248,3030,6845,1,0,1,1,0
IND,1996,N,1687,1750,7819,2799,6357,0,0,0,0,0
LAC,1996,N,1517,1662,7969,2975,6445,0,0,1,0,0
LAL,1996,N,1613,1845,8200,2922,6619,1,0,1,1,0
MIA,1996,N,1454,1735,7776,2687,6226,1,0,1,1,0
MIL,1996,N,1560,1610,7818,2999,6355,0,0,0,0,0
MIN,1996,N,1637,1874,7882,2945,6539,0,0,1,0,0
NJN,1996,N,1502,1726,7974,3100,6684,0,0,0,0,0
NYK,1996,N,1585,1809,7819,2665,6272,1,0,1,1,0
ORL,1996,N,1474,1689,7719,2966,6450,1,0,1,0,0
PHI,1996,N,1776,1695,8215,3314,7045,0,0,0,0,0
PHO,1996,N,1618,2067,8431,3183,6818,0,0,1,0,0
POR,1996,N,1613,1710,8114,2798,6423,1,0,1,0,0
SAC,1996,N,1494,1799,7908,3010,6521,0,0,0,0,0
SAS,1996,N,1386,1661,7418,3002,6379,0,0,0,0,0
SEA,1996,N,1725,1931,8274,2759,6259,1,0,1,1,0
TOR,1996,N,1446,1714,7829,2971,6390,0,0,0,0,0
UTA,1996,N,1858,2199,8454,2708,6188,1,0,1,1,1
VAN,1996,N,1230,1862,7313,3092,6556,0,0,0,0,0
WA1,1996,N,1400,1921,8147,3011,6637,1,0,1,0,0
ATL,1997,N,1749,1569,7860,2961,6698,1,0,1,0,0
BOS,1997,N,1425,1816,7864,2864,5981,0,0,0,0,0
CHA,1997,N,1641,1941,7923,2977,6417,1,0,1,1,0
CHI,1997,N,1492,1952,7931,2797,6483,1,1,1,1,1
CLE,1997,N,1653,1894,7585,2689,6214,1,0,1,0,0
DAL,1997,N,1308,1535,7494,3138,6819,0,0,0,0,0
DEN,1997,N,1658,1547,7300,3015,6370,0,0,0,0,0
DET,1997,N,1704,1597,7721,2840,6377,0,0,0,0,0
GSW,1997,N,1358,1708,7237,2992,6742,0,0,0,0,0
HOU,1997,N,1634,1799,8099,3173,6769,0,0,1,0,0
IND,1997,N,1631,1889,7874,2788,6451,1,0,1,1,0
LAC,1997,N,1480,1533,7865,3236,6832,0,0,0,0,0
LAL,1997,N,1863,2009,8652,2984,6800,1,0,1,1,0
MIA,1997,N,1539,1758,7787,2723,6355,1,0,1,0,0
MIL,1997,N,1663,1649,7748,2911,6319,0,0,0,0,0
MIN,1997,N,1673,2068,8290,3076,6860,1,0,1,0,0
NJN,1997,N,1750,1685,8170,3016,6406,1,0,1,0,0
NYK,1997,N,1399,1787,7509,2624,6131,1,0,1,1,0
ORL,1997,N,1552,1694,7387,2930,6460,0,0,0,0,0
PHI,1997,N,1734,1729,7651,2906,6440,0,0,0,0,0
PHO,1997,N,1459,2124,8166,2923,6618,1,0,1,0,0
POR,1997,N,1640,1766,7734,2810,6520,1,0,1,0,0
SAC,1997,N,1440,1836,7637,3095,6776,0,0,0,0,0
SAS,1997,N,1489,1839,7587,2737,6656,1,0,1,1,0
SEA,1997,N,1521,1986,8246,2896,6491,1,0,1,1,0
TOR,1997,N,1479,1746,7781,3271,6826,0,0,0,0,0
UTA,1997,N,2044,2070,8279,2806,6390,1,0,1,1,1
VAN,1997,N,1586,1960,7923,3230,6797,0,0,0,0,0
WAS,1997,N,1489,1900,7969,2975,6540,1,0,0,0,0
ATL,1998,N,1040,782,4315,1598,3873,1,0,1,1,0
BOS,1998,N,745,1073,4650,1725,3896,0,0,0,0,0
CHA,1998,N,1034,1110,4644,1739,4003,1,0,0,0,0
CHI,1998,N,840,1017,4095,1723,3786,0,0,0,0,0
CLE,1998,N,1016,1093,4322,1597,3664,0,0,0,0,0
DAL,1998,N,881,921,4581,1815,4037,0,0,0,0,0
DEN,1998,N,1010,969,4674,1885,4017,0,0,0,0,0
DET,1998,N,950,1009,4518,1585,3639,1,0,1,0,0
GSW,1998,N,794,1037,4416,1617,3848,0,0,0,0,0
HOU,1998,N,865,1058,4711,1793,4136,1,0,1,0,0
IND,1998,N,977,1005,4733,1706,3935,1,0,1,1,0
LAC,1998,N,883,820,4519,1830,3858,0,0,0,0,0
LAL,1998,N,1027,1095,4950,1759,3992,1,0,1,1,0
MIA,1998,N,928,1019,4449,1565,3805,1,0,1,0,0
MIL,1998,N,847,1030,4584,1600,3746,1,0,1,0,0
MIN,1998,N,849,1218,4647,1680,3823,0,0,1,0,0
NJN,1998,N,962,923,4569,1796,3968,0,0,0,0,0
NYK,1998,N,892,963,4320,1528,3790,1,0,1,1,1
ORL,1998,N,876,1067,4473,1708,3856,1,0,1,0,0
PHI,1998,N,1073,934,4483,1599,3784,1,0,1,1,0
PHO,1998,N,924,1249,4779,1772,3936,1,0,1,0,0
POR,1998,N,1002,1073,4742,1644,3939,1,0,1,1,0
SAC,1998,N,883,1129,5009,2009,4500,1,0,1,0,0
SAS,1998,N,988,1101,4640,1631,4061,1,1,1,1,1
SEA,1998,N,922,1087,4743,1838,4026,0,0,0,0,0
TOR,1998,N,1011,1036,4557,1694,3855,0,0,0,0,0
UTA,1998,N,1158,1204,4666,1595,3863,1,0,1,1,0
VAN,1998,N,1009,964,4443,1813,3917,0,0,0,0,0
WAS,1998,N,845,1064,4560,1705,3826,0,0,0,0,0
ATL,1999,N,1477,1548,7735,3211,7060,0,0,0,0,0
BOS,1999,N,1621,1741,8146,2960,6304,0,0,0,0,0
CHA,1999,N,1863,2023,8072,3048,6811,1,0,1,0,0
CHI,1999,N,1482,1636,6952,2916,6396,0,0,0,0,0
CLE,1999,N,1653,1940,7950,2983,6733,0,0,0,0,0
DAL,1999,N,1407,1810,8316,3225,7053,0,0,0,0,0
DEN,1999,N,1531,1911,8115,3129,6953,0,0,0,0,0
DET,1999,N,1956,1707,8483,3119,6706,1,0,1,0,0
GSW,1999,N,1497,1851,7834,3165,6775,0,0,0,0,0
HOU,1999,N,1573,1774,8156,3226,7074,0,0,0,0,0
IND,1999,N,1629,1857,8306,3113,6982,1,0,1,1,1
LAC,1999,N,1363,1479,7546,3281,6879,0,0,0,0,0
LAL,1999,N,1649,1921,8267,2838,6824,1,1,1,1,1
MIA,1999,N,1345,1931,7739,2782,6596,1,0,1,1,0
MIL,1999,N,1558,1852,8298,3033,6644,1,0,1,0,0
MIN,1999,N,1379,2205,8079,2924,6577,1,0,1,0,0
NJN,1999,N,1601,1688,8036,3125,6741,0,0,0,0,0
NYK,1999,N,1410,1588,7555,2711,6399,1,0,1,1,0
ORL,1999,N,1574,1709,8206,3076,6919,0,0,0,0,0
PHI,1999,N,1577,1817,7771,2867,6595,1,0,1,1,0
PHO,1999,N,1467,2098,8111,2825,6665,1,0,1,1,0
POR,1999,N,1542,1925,7991,2825,6557,1,0,1,1,0
SAC,1999,N,1521,1953,8607,3269,7240,1,0,1,0,0
SAS,1999,N,1652,1819,7886,2884,6781,1,0,1,0,0
SEA,1999,N,1363,1878,8125,3132,6941,1,0,1,0,0
TOR,1999,N,1583,1947,7968,3002,6615,1,0,1,0,0
UTA,1999,N,1661,2041,7914,2781,6240,1,0,1,1,0
VAN,1999,N,1594,1700,7702,3136,6612,0,0,0,0,0
WAS,1999,N,1566,1771,7921,3005,6547,0,0,0,0,0
ATL,2000,N,1374,1559,7459,2922,6609,0,0,0,0,0
BOS,2000,N,1621,1708,7759,2935,6392,0,0,0,0,0
CHA,2000,N,1599,1900,7539,2767,6501,1,0,1,1,0
CHI,2000,N,1410,1810,7181,2987,6330,0,0,0,0,0
CLE,2000,N,1561,1708,7561,2927,6582,0,0,0,0,0
DAL,2000,N,1552,1740,8239,2938,6693,1,0,1,1,0
DEN,2000,N,1448,1970,7918,3081,6914,0,0,0,0,0
DET,2000,N,1610,1629,7837,2976,6850,0,0,0,0,0
GSW,2000,N,1428,1788,7584,3179,6740,0,0,0,0,0
HOU,2000,N,1582,1613,7972,3020,6733,1,0,0,0,0
IND,2000,N,1539,1763,7591,2829,6683,0,0,1,0,0
LAC,2000,N,1429,1585,7581,2995,6799,0,0,0,0,0
LAL,2000,N,1594,1888,8251,2983,6815,1,1,1,1,1
MIA,2000,N,1423,1630,7289,2701,6261,1,0,1,0,0
MIL,2000,N,1474,1844,8260,2912,6626,1,0,1,1,0
MIN,2000,N,1364,2083,7982,2977,6588,1,0,1,0,0
NJN,2000,N,1629,1603,7552,2937,6452,0,0,0,0,0
NYK,2000,N,1374,1520,7275,2568,6159,1,0,1,0,0
ORL,2000,N,1476,1803,7992,2830,6499,1,0,1,0,0
PHI,2000,N,1697,1692,7763,2871,6699,1,0,1,1,1
PHO,2000,N,1490,1905,7710,2792,6422,1,0,1,0,0
POR,2000,N,1447,1963,7824,2819,6436,1,0,1,0,0
SAC,2000,N,1600,1852,8343,3087,7139,1,0,1,1,0
SAS,2000,N,1673,1778,7886,2837,6770,1,0,1,1,0
SEA,2000,N,1454,1792,7978,3076,6783,1,0,0,0,0
TOR,2000,N,1482,2004,8007,3009,6725,1,0,1,1,0
UTA,2000,N,1714,2111,7959,2667,6076,1,0,1,0,0
VAN,2000,N,1457,1899,7522,3143,6791,0,0,0,0,0
WAS,2000,N,1704,1647,7645,3100,6596,0,0,0,0,0
ATL,2001,N,1486,1656,7711,3065,6674,0,0,0,0,0
BOS,2001,N,1498,1722,7901,2797,6578,1,0,1,1,0
CHA,2001,N,1568,1759,7700,2850,6594,1,0,1,1,0
CHI,2001,N,1413,1817,7335,3027,6514,0,0,0,0,0
CLE,2001,N,1529,1891,7812,3053,6678,0,0,0,0,0
DAL,2001,N,1608,1811,8629,3094,6851,1,0,1,1,0
DEN,2001,N,1306,1817,7559,3005,6540,0,0,0,0,0
DET,2001,N,1478,1765,7738,2926,6544,1,0,1,1,0
GSW,2001,N,1693,1706,8009,3213,6993,0,0,0,0,0
HOU,2001,N,1402,1482,7572,3191,6875,0,0,0,0,0
IND,2001,N,1663,1884,7938,2977,6800,1,0,1,0,0
LAC,2001,N,1498,1714,7846,3074,6866,0,0,0,0,0
LAL,2001,N,1494,1882,8304,2872,6777,1,1,1,1,1
MEM,2001,N,1334,1785,7372,3119,6830,0,0,0,0,0
MIA,2001,N,1236,1664,7150,2666,6279,0,0,0,0,0
MIL,2001,N,1321,1847,7996,3016,6846,0,0,0,0,0
MIN,2001,N,1399,1993,8145,2962,6654,1,0,1,0,0
NJN,2001,N,1402,1990,7889,2858,6668,1,0,1,1,1
NYK,2001,N,1406,1720,7514,2924,6570,0,0,0,0,0
ORL,2001,N,1446,1804,8240,3116,6830,1,0,1,0,0
PHI,2001,N,1639,1638,7461,2771,6500,1,0,1,0,0
PHO,2001,N,1250,1837,7802,2957,6663,0,0,0,0,0
POR,2001,N,1451,1926,7925,2951,6508,1,0,1,0,0
SAC,2001,N,1618,1958,8578,3128,7108,1,0,1,1,0
SAS,2001,N,1668,1643,7932,2883,6775,1,0,1,1,0
SEA,2001,N,1263,1926,8014,2966,6605,1,0,1,0,0
TOR,2001,N,1269,1779,7494,2820,6390,1,0,1,0,0
UTA,2001,N,1853,1999,7871,2777,6216,1,0,1,0,0
WAS,2001,N,1428,1715,7609,2953,6534,0,0,0,0,0
ATL,2002,N,1594,1679,7714,3015,6907,0,0,0,0,0
BOS,2002,N,1480,1575,7599,2804,6450,1,0,1,1,0
CHI,2002,N,1455,1782,7786,2991,6817,0,0,0,0,0
CLE,2002,N,1502,1712,7495,3072,6786,0,0,0,0,0
DAL,2002,N,1486,1837,8444,2926,6687,1,0,1,1,0
DEN,2002,N,1294,1737,6901,2696,6087,0,0,0,0,0
DET,2002,N,1559,1620,7492,2744,6269,1,0,1,1,0
GSW,2002,N,1853,1712,8400,3240,7175,0,0,0,0,0
HOU,2002,N,1567,1506,7686,2891,6681,1,0,0,0,0
IND,2002,N,1739,1910,7940,2860,6690,1,0,1,0,0
LAC,2002,N,1633,1606,7693,3035,6787,0,0,0,0,0
LAL,2002,N,1562,1909,8230,2976,6725,1,0,1,1,0
MEM,2002,N,1430,1892,7995,3224,7008,0,0,0,0,0
MIA,2002,N,1292,1501,7016,2713,6208,0,0,0,0,0
MIL,2002,N,1483,1823,8158,3043,6642,1,0,1,0,0
MIN,2002,N,1406,2070,8046,3005,6873,1,0,1,0,0
NJN,2002,N,1662,1887,7820,2757,6461,1,0,1,1,1
NOH,2002,N,1467,1807,7699,2857,6518,1,0,1,0,0
NYK,2002,N,1320,1800,7860,2961,6478,0,0,0,0,0
ORL,2002,N,1616,1676,8078,3007,6602,1,0,1,0,0
PHI,2002,N,1748,1771,7943,2876,6363,1,0,1,1,0
PHO,2002,N,1430,1719,7834,2913,6658,1,0,1,0,0
POR,2002,N,1450,1860,7803,2942,6540,1,0,1,0,0
SAC,2002,N,1367,2034,8342,2991,7125,1,0,1,1,0
SAS,2002,N,1591,1636,7856,2862,6703,1,1,1,1,1
SEA,2002,N,1325,1775,7555,2871,6424,0,0,0,0,0
TOR,2002,N,1350,1583,7453,3037,6592,0,0,0,0,0
UTA,2002,N,1750,2103,7762,2751,6346,1,0,1,0,0
WAS,2002,N,1617,1612,7502,2877,6507,0,0,0,0,0
ATL,2003,N,1534,1648,7611,2968,6740,0,0,0,0,0
BOS,2003,N,1572,1683,7811,2894,6627,0,0,1,0,0
CHI,2003,N,1330,1793,7355,2882,6611,0,0,0,0,0
CLE,2003,N,1528,1808,7619,2956,6759,0,0,0,0,0
DAL,2003,N,1475,1963,8626,3133,6824,1,0,1,0,0
DEN,2003,N,1655,1794,7972,3019,6662,1,0,1,0,0
DET,2003,N,1561,1702,7388,2633,6378,1,1,1,1,1
GSW,2003,N,1470,1681,7649,2948,6630,0,0,0,0,0
HOU,2003,N,1371,1579,7362,2636,6405,1,0,1,0,0
IND,2003,N,1538,1774,7493,2671,6179,1,0,1,1,0
LAC,2003,N,1808,1653,7771,3075,6687,0,0,0,0,0
LAL,2003,N,1631,1948,8052,2920,6640,1,0,1,1,1
MEM,2003,N,1557,1915,7930,2859,6550,1,0,1,0,0
MIA,2003,N,1459,1565,7402,2658,6206,1,0,1,1,0
MIL,2003,N,1698,1872,8039,3034,6719,0,0,1,0,0
MIN,2003,N,1361,1890,7753,2741,6625,1,0,1,1,0
NJN,2003,N,1398,2009,7401,2693,6303,1,0,1,1,0
NOH,2003,N,1454,1716,7529,2843,6443,0,0,1,0,0
NYK,2003,N,1374,1695,7542,2785,6491,0,0,1,0,0
ORL,2003,N,1474,1584,7711,3169,6804,0,0,0,0,0
PHI,2003,N,1512,1640,7215,2751,6369,0,0,0,0,0
PHO,2003,N,1392,1586,7723,2975,6671,0,0,0,0,0
POR,2003,N,1263,1768,7440,2954,6567,0,0,0,0,0
SAC,2003,N,1626,2152,8433,3140,6921,1,0,1,1,0
SAS,2003,N,1409,1676,7501,2613,6388,1,0,1,1,0
SEA,2003,N,1363,1782,7964,2980,6622,0,0,0,0,0
TOR,2003,N,1237,1574,7006,2722,6365,0,0,0,0,0
UTA,2003,N,1639,1671,7271,2541,5879,1,0,0,0,0
WAS,2003,N,1579,1537,7528,3061,6741,0,0,0,0,0
ATL,2004,N,1417,1614,7605,3044,6389,0,0,0,0,0
BOS,2004,N,1775,1810,8304,2960,6664,1,0,1,0,0
CHI,2004,N,1536,1743,7745,2763,6548,1,0,1,0,0
CHR,2004,N,1487,1794,7729,3015,6507,0,0,0,0,0
CLE,2004,N,1634,1851,7914,2913,6444,1,0,0,0,0
DAL,2004,N,1826,1610,8405,2941,6712,1,0,1,1,0
DEN,2004,N,1765,1958,8161,2950,6606,1,0,1,0,0
DET,2004,N,1588,1787,7653,2791,6496,1,0,1,1,1
GSW,2004,N,1412,1811,8094,3133,6838,0,0,0,0,0
HOU,2004,N,1551,1733,7796,2720,6423,1,0,1,0,0
IND,2004,N,1748,1489,7626,2768,6284,1,0,1,1,0
LAC,2004,N,1770,1901,7849,2936,6618,0,0,0,0,0
LAL,2004,N,1661,1672,8095,3141,6928,0,0,0,0,0
MEM,2004,N,1526,1716,7661,2684,6215,1,0,1,0,0
