team,year,league,shots made,shots attempted,free throws made,free throws attempted,assists,fouls committed,points scored,points allowed,games won,games lost,win pct,Over 500,Champion,Playoffs,Playoff Win,Final 2
BOS,1946,N,1397,5133,811,1375,470,1202,3605,3900,22,38,0.366666667,0,0,0,0,0
CH1,1946,N,1879,6309,939,1550,436,1473,4697,4471,39,22,0.639344262,1,0,1,1,1
CL1,1946,N,1674,5699,903,1428,494,1246,4251,4308,30,30,0.5,0,0,1,0,0
DE1,1946,N,1437,5843,923,1494,482,1351,3797,3918,20,40,0.333333333,0,0,0,0,0
NYK,1946,N,1465,5255,951,1438,457,1218,3881,3840,33,27,0.55,1,0,1,1,0
PH1,1946,N,1510,5384,1098,1596,343,1082,4118,3912,35,25,0.583333333,1,1,1,1,1
PIT,1946,N,1345,4961,984,1507,272,1360,3674,4056,15,45,0.25,0,0,0,0,0
PRO,1946,N,1629,5582,1092,1666,481,1215,4350,4452,28,32,0.466666667,0,0,0,0,0
ST1,1946,N,1601,5877,862,1400,292,1234,4064,3910,38,23,0.62295082,1,0,1,0,0
TO1,1946,N,1515,5672,966,1552,463,1271,3996,4260,22,38,0.366666667,0,0,1,0,0
WSC,1946,N,1723,5794,982,1391,378,1144,4428,3834,49,11,0.816666667,1,0,0,0,0
BA1,1947,N,1288,4283,994,1443,320,1080,3570,3384,28,20,0.583333333,1,1,1,1,1
BOS,1947,N,1241,4323,821,1246,364,1065,3303,3490,20,28,0.416666667,0,0,1,0,0
CH1,1947,N,1390,4683,860,1305,432,1138,3640,3514,28,20,0.583333333,1,0,1,1,0
NYK,1947,N,1355,4724,868,1291,376,1076,3578,3427,26,22,0.541666667,1,0,1,0,0
PH1,1947,N,1279,4875,963,1349,335,934,3521,3461,27,21,0.5625,1,0,1,0,1
PRO,1947,N,1268,4630,782,1275,347,1105,3318,3845,6,42,0.125,0,0,0,0,0
ST1,1947,N,1297,4551,838,1244,218,1050,3432,3336,29,19,0.604166667,1,0,1,1,0
WSC,1947,N,1336,4785,865,1203,305,1084,3537,3413,28,20,0.583333333,1,0,0,0,0
BA1,1948,N,1736,5162,1545,2053,1000,1730,5017,4932,29,31,0.483333333,0,0,1,0,0
BOS,1948,N,1706,5483,1181,1856,1135,1382,4593,4770,25,35,0.416666667,0,0,0,0,0
CH1,1948,N,1905,5750,1228,1775,1220,1731,5038,4800,38,22,0.633333333,1,0,1,0,0
FTW,1948,N,1536,5370,1385,1979,1082,1722,4457,4650,22,38,0.366666667,0,0,0,0,0
INJ,1948,N,1621,5367,1240,1798,1225,1393,4482,4764,18,42,0.3,0,0,0,0,0
MIE,1948,N,1885,5146,1272,1759,1134,1386,5042,4602,44,16,0.733333333,1,1,1,1,1
NYK,1948,N,1688,5237,1376,1959,1017,1559,4752,4662,32,28,0.533333333,1,0,1,1,0
PH1,1948,N,1831,5695,1360,1897,1043,1459,5022,5004,28,32,0.466666667,0,0,1,0,0
PRO,1948,N,1750,5427,1207,1742,1026,1349,4707,5226,12,48,0.2,0,0,0,0,0
ROC,1948,N,1811,4869,1420,2060,1259,1539,5042,4644,45,15,0.75,1,0,1,1,0
ST1,1948,N,1656,4858,1229,1770,1269,1480,4541,4764,29,31,0.483333333,0,0,1,0,0
WSC,1948,N,1751,5472,1408,1914,972,1710,4910,4764,38,22,0.633333333,1,0,1,1,1
AND,1949,N,1943,6254,1703,2343,1240,1806,5589,5350,37,27,0.578125,1,0,1,1,0
BA1,1949,N,1712,5516,1549,2123,1189,1792,4973,5352,25,43,0.367647059,0,0,0,0,0
BOS,1949,N,1945,5756,1530,2163,1473,1644,5420,5590,22,46,0.323529412,0,0,0,0,0
CH1,1949,N,2003,5892,1346,1934,1366,1977,5352,5243,40,28,0.588235294,1,0,1,0,0
DN1,1949,N,1731,5182,1355,1999,1044,1692,4817,5524,11,51,0.177419355,0,0,0,0,0
FTW,1949,N,1878,5901,1634,2331,1364,2065,5390,5297,40,28,0.588235294,1,0,1,1,0
INI,1949,N,1982,5283,1529,2146,1342,1676,5493,5254,39,25,0.609375,1,0,1,1,0
MIE,1949,N,2139,5832,1439,1943,1406,1672,5717,5148,51,17,0.75,1,1,1,1,1
NYK,1949,N,1889,5351,1710,2404,1308,1718,5488,5345,40,28,0.588235294,1,0,1,1,0
PH1,1949,N,1779,5711,1425,2037,1142,1768,4983,5195,26,42,0.382352941,0,0,1,0,0
ROC,1949,N,1956,5247,1690,2319,1383,1585,5602,5073,51,17,0.75,1,0,1,0,0
SHE,1949,N,1727,5022,1654,2338,1279,1766,5108,5444,22,40,0.35483871,0,0,1,0,0
ST1,1949,N,1741,5086,1528,2149,1285,1596,5010,5202,26,42,0.382352941,0,0,0,0,0
SYR,1949,N,1869,5276,1691,2396,1473,1833,5429,4909,51,13,0.796875,1,0,1,1,1
TRI,1949,N,1818,5515,1677,2308,1330,2057,5313,5350,29,35,0.453125,0,0,1,0,0
WAT,1949,N,1746,4904,1429,2002,1324,1780,4921,5264,19,43,0.306451613,0,0,0,0,0
WSC,1949,N,1813,5493,1575,2111,1057,1837,5201,5263,32,36,0.470588235,0,0,1,0,0
BA1,1950,N,1955,5542,1504,2020,1345,1736,5414,5564,24,42,0.363636364,0,0,0,0,0
BOS,1950,N,2065,5607,1751,2415,1579,1881,5881,5900,39,30,0.565217391,1,0,1,0,0
