team,year,league,shots made,shots attempted,free throws made,points scored,points allowed,Over 500,Champion,Playoffs,Playoff Win,Final 2
BOS,1946,N,1397,5133,811,3605,3900,0,0,0,0,0
CH1,1946,N,1879,6309,939,4697,4471,1,0,1,1,1
CL1,1946,N,1674,5699,903,4251,4308,0,0,1,0,0
DE1,1946,N,1437,5843,923,3797,3918,0,0,0,0,0
NYK,1946,N,1465,5255,951,3881,3840,1,0,1,1,0
PH1,1946,N,1510,5384,1098,4118,3912,1,1,1,1,1
PIT,1946,N,1345,4961,984,3674,4056,0,0,0,0,0
PRO,1946,N,1629,5582,1092,4350,4452,0,0,0,0,0
ST1,1946,N,1601,5877,862,4064,3910,1,0,1,0,0
TO1,1946,N,1515,5672,966,3996,4260,0,0,1,0,0
WSC,1946,N,1723,5794,982,4428,3834,1,0,0,0,0
BA1,1947,N,1288,4283,994,3570,3384,1,1,1,1,1
BOS,1947,N,1241,4323,821,3303,3490,0,0,1,0,0
CH1,1947,N,1390,4683,860,3640,3514,1,0,1,1,0
NYK,1947,N,1355,4724,868,3578,3427,1,0,1,0,0
PH1,1947,N,1279,4875,963,3521,3461,1,0,1,0,1
PRO,1947,N,1268,4630,782,3318,3845,0,0,0,0,0
ST1,1947,N,1297,4551,838,3432,3336,1,0,1,1,0
WSC,1947,N,1336,4785,865,3537,3413,1,0,0,0,0
BA1,1948,N,1736,5162,1545,5017,4932,0,0,1,0,0
BOS,1948,N,1706,5483,1181,4593,4770,0,0,0,0,0
CH1,1948,N,1905,5750,1228,5038,4800,1,0,1,0,0
FTW,1948,N,1536,5370,1385,4457,4650,0,0,0,0,0
INJ,1948,N,1621,5367,1240,4482,4764,0,0,0,0,0
MIE,1948,N,1885,5146,1272,5042,4602,1,1,1,1,1
NYK,1948,N,1688,5237,1376,4752,4662,1,0,1,1,0
PH1,1948,N,1831,5695,1360,5022,5004,0,0,1,0,0
PRO,1948,N,1750,5427,1207,4707,5226,0,0,0,0,0
ROC,1948,N,1811,4869,1420,5042,4644,1,0,1,1,0
ST1,1948,N,1656,4858,1229,4541,4764,0,0,1,0,0
WSC,1948,N,1751,5472,1408,4910,4764,1,0,1,1,1
AND,1949,N,1943,6254,1703,5589,5350,1,0,1,1,0
BA1,1949,N,1712,5516,1549,4973,5352,0,0,0,0,0
BOS,1949,N,1945,5756,1530,5420,5590,0,0,0,0,0
CH1,1949,N,2003,5892,1346,5352,5243,1,0,1,0,0
DN1,1949,N,1731,5182,1355,4817,5524,0,0,0,0,0
