team,year,league,shots made,shots attempted,free throws made,free throws attempted,assists,fouls committed,points scored,points allowed,games won,games lost,win pct,Over 500,Champion,Playoffs,Playoff Win,Final 2
CIN,1964,N,3482,7797,2170,2866,1843,1992,9134,8952,48,32,0.6,1,0,1,0,0
DET,1964,N,3467,8297,1747,2537,1609,2058,8681,8952,31,49,0.3875,0,0,0,0,0
LAL,1964,N,3336,7628,2276,2984,1601,1998,8948,8792,49,31,0.6125,1,0,1,1,1
NYK,1964,N,3339,7834,1915,2684,1550,2283,8593,8888,31,49,0.3875,0,0,0,0,0
PHI,1964,N,3391,8028,2221,3011,1692,2096,9003,9016,40,40,0.5,0,0,1,0,0
SFW,1964,N,3323,8245,1819,2844,1653,2002,8465,8960,17,63,0.2125,0,0,0,0,0
STL,1964,N,3269,7710,2168,2947,1691,2069,8706,8464,45,35,0.5625,1,0,1,0,0
BAL,1965,N,3599,8210,2267,3186,1890,2199,9465,9560,38,42,0.475,0,0,1,0,0
BOS,1965,N,3488,8367,2038,2758,1795,2012,9014,8624,54,26,0.675,1,1,1,1,1
CIN,1965,N,3610,8123,2204,2906,1818,2033,9424,9328,45,35,0.5625,1,0,1,0,0
DET,1965,N,3475,8502,1877,2734,1569,2016,8827,9376,22,58,0.275,0,0,0,0,0
LAL,1965,N,3597,8109,2363,3057,1936,2035,9557,9312,45,35,0.5625,1,0,1,1,1
NYK,1965,N,3559,7910,2217,3078,1896,2227,9335,9544,30,50,0.375,0,0,0,0,0
PHI,1965,N,3650,8189,2087,3141,1905,2095,9387,9016,55,25,0.6875,1,0,1,0,0
SFW,1965,N,3557,8512,2129,2879,1872,2069,9243,9456,35,45,0.4375,0,0,0,0,0
STL,1965,N,3379,7836,2155,2870,1782,2179,8913,8960,36,44,0.45,0,0,1,1,0
BAL,1966,N,3664,8578,2025,2771,1652,2153,9353,9882,20,61,0.24691358,0,0,0,0,0
BOS,1966,N,3724,8325,2216,2963,1962,2138,9664,9015,60,21,0.740740741,1,0,1,1,0
CHI,1966,N,3565,8505,2037,2784,1827,2205,9167,9469,33,48,0.407407407,0,0,1,0,0
CIN,1966,N,3654,8137,2179,2806,1858,2073,9487,9509,39,42,0.481481482,0,0,1,0,0
DET,1966,N,3523,8542,1969,2725,1465,2198,9015,9461,30,51,0.37037037,0,0,0,0,0
LAL,1966,N,3786,8466,2192,2917,1906,2168,9764,9736,36,45,0.444444444,0,0,1,0,0
NYK,1966,N,3637,8025,2151,2980,1782,2110,9425,9671,36,45,0.444444444,0,0,1,0,0
PHI,1966,N,3912,8103,2319,3411,2138,1906,10143,9380,68,13,0.839506173,1,1,1,1,1
SFW,1966,N,3814,8818,2283,3021,1876,2120,9911,9680,44,37,0.543209877,1,0,1,1,1
STL,1966,N,3547,8004,2110,2979,1708,2173,9204,9331,39,42,0.481481482,0,0,1,1,0
ANA,1967,A,3172,7606,2141,2916,1297,2174,8704,9057,25,53,0.320512821,0,0,0,0,0
BAL,1967,N,3691,8428,2245,2994,1534,2127,9627,9660,36,46,0.43902439,0,0,0,0,0
BOS,1967,N,3686,8371,2151,2983,1798,2147,9523,9184,54,28,0.658536585,1,1,1,1,1
CHI,1967,N,3488,8138,2006,2718,1527,2130,8982,9307,29,53,0.353658537,0,0,1,0,0
CIN,1967,N,3679,7864,2204,2892,2048,2016,9562,9627,39,43,0.475609756,0,0,0,0,0
DEN,1967,A,3119,7271,1981,2725,1044,1992,8244,7914,45,33,0.576923077,1,0,1,0,0
DET,1967,N,3755,8386,2215,3129,1700,2240,9725,9889,40,42,0.487804878,0,0,1,0,0
DLC,1967,A,3260,7167,2027,2810,1344,1997,8576,8470,46,32,0.58974359,1,0,1,1,0
HMV,1967,A,3094,7731,1774,2537,1175,1906,8074,8407,29,49,0.371794872,0,0,1,0,0
IND,1967,A,3174,7397,2102,2971,1176,1788,8546,8530,38,40,0.487179487,0,0,1,0,0
KEN,1967,A,3044,7427,1921,2677,1165,1928,8150,8207,36,42,0.461538462,0,0,1,0,0
LAL,1967,N,3827,8031,2283,3143,1983,2152,9937,9479,52,30,0.634146342,1,0,1,1,1
MNM,1967,A,3248,8084,1896,2968,1019,1860,8469,8163,50,28,0.641025641,1,0,1,1,0
NJA,1967,A,3189,7727,2138,2876,1200,2051,8641,8768,36,42,0.461538462,0,0,0,0,0
